"","county","state","pop_county","area","num_county","pop_state","rep_vote","rep_vote_pct","dem_vote","dem_vote_pct","third_pct","X","STATE","COUNTY","TOT_POP","total_hispanic_2020","total_hispanic_2010"
"1","Abbeville","South Carolina",24295,511,46,5118425,8215,0.661,4101,0.33,0.009,2310,45,1,24287,430,255
"2","Acadia Parish","Louisiana",57576,658,64,4657757,22596,0.795,5443,0.191,0.014,1107,22,1,57569,1750,1060
"3","Accomack","Virginia",33413,455,133,8631393,7578,0.447,9172,0.542,0.0109999999999999,2814,51,1,33417,3037,2850
"4","Ada","Idaho",494967,1055,44,1839106,130699,0.504,120539,0.465,0.031,545,16,1,494964,43321,27905
"5","Adair","Iowa",7496,569,99,3190369,2917,0.699,1198,0.287,0.0140000000000001,783,19,1,7498,187,101
"6","Adair","Kentucky",18903,407,120,4505836,7276,0.83,1392,0.159,0.011,987,21,1,18903,466,319
"7","Adair","Missouri",25314,568,115,6154913,6413,0.621,3710,0.359,0.02,1477,29,1,25315,687,523
"8","Adair","Oklahoma",19495,576,77,3959353,5585,0.786,1387,0.195,0.019,2125,40,1,19494,1474,1197
"9","Adams","Colorado",519572,1182.29,64,5773714,134202,0.567,95657,0.404,0.029,246,8,1,519582,213982,167878
"10","Adams","Idaho",4379,1365,44,1839106,1941,0.751,591,0.229,0.02,546,16,3,4380,167,94
"11","Adams","Illinois",65737,855,102,12812508,8633,0.257,24220,0.722,0.021,589,17,1,65727,1190,776
"12","Adams","Indiana",35809,339,92,6785528,10686,0.752,3236,0.228,0.02,691,18,1,35811,1642,1412
"13","Adams","Iowa",3704,424,99,3190369,1530,0.71,590,0.274,0.016,784,19,3,3708,72,37
"14","Adams","Mississippi",29538,460,82,2961279,5696,0.414,7917,0.575,0.0110000000000001,1395,28,1,29538,2029,2150
"15","Adams","Nebraska",31205,563,93,1961504,10085,0.691,4213,0.289,0.0200000000000001,1648,31,1,31202,3620,2544
"16","Adams","North Dakota",2200,988,53,779094,981,0.773,258,0.203,0.024,1984,38,1,2200,46,20
"17","Adams","Ohio",27477,583.90997,88,11799448,9870,0.813,2156,0.178,0.0090000000000001,2037,39,1,27474,301,243
"18","Adams","Pennsylvania",103852,522,67,13002700,18207,0.322,37523,0.664,0.0139999999999999,2238,42,1,103829,7636,6115
"19","Adams","Washington",20613,1925,39,7705281,1814,0.311,3907,0.669,0.02,2947,53,1,20612,13325,11099
"20","Adams","Wisconsin",20654,645.65002,72,5893718,4329,0.367,7362,0.624,0.009,3041,55,1,20646,914,783
"21","Addison","Vermont",37363,2426,14,643077,14967,0.684,6292,0.288,0.028,2800,50,1,37359,909,685
"22","Aiken","South Carolina",168808,1080,46,5118425,51589,0.606,32275,0.379,0.015,2311,45,3,168811,10269,7824
"23","Aitkin","Minnesota",15697,1819.3,87,5706494,3607,0.36,6258,0.625,0.015,1308,27,1,15703,220,151
"24","Alachua","Florida",278468,874,67,21538088,50972,0.357,89704,0.629,0.014,314,12,1,278475,29997,20752
"25","Alamance","North Carolina",171415,435,100,10439388,46056,0.536,38825,0.452,0.012,1884,37,1,171429,22908,16639
"26","Alameda","California",1682353,738,58,39538224,617659,0.802,136309,0.177,0.021,188,6,1,1682331,373442,339889
"27","Alamosa","Colorado",16376,723.21002,64,5773714,3759,0.481,3813,0.488,0.031,247,8,3,16381,7814,7110
"28","Albany","New York",314848,533,62,20201248,99474,0.648,51081,0.333,0.019,1822,36,1,314838,20432,14917
"29","Albany","Wyoming",37066,4274,23,576851,8579,0.465,9092,0.493,0.0419999999999999,3113,56,1,37070,3654,3202
"30","Albemarle","Virginia",112395,723,133,8631393,42466,0.661,20804,0.324,0.015,2815,51,3,112396,6586,5417
"31","Alcona","Michigan",10167,1791,83,10077331,2142,0.303,4848,0.686,0.011,1225,26,1,10167,194,124
"32","Alcorn","Mississippi",34740,400,82,2961279,12818,0.812,2782,0.176,0.012,1396,28,3,34743,1209,1010
"33","Aleutians East Borough","Alaska",3420,6985,30,733391,4652,0.6031,2666,0.3457,0.0512,68,2,13,3419,570,385
"34","Aleutians West Census Area","Alaska",5232,4393,30,733391,551,0.4298,692,0.5398,0.0304,69,2,16,5232,782,726
"35","Alexander","Illinois",5240,236,102,12812508,1114,0.426,1486,0.568,0.0060000000000001,590,17,3,5242,111,155
"36","Alexander","North Carolina",36444,263,100,10439388,15888,0.786,4145,0.205,0.009,1885,37,3,36440,1817,1601
"37","Alexandria","Virginia",159467,15,133,8631393,66240,0.81,14544,0.178,0.012,2816,51,510,159461,26306,22524
"38","Alfalfa","Oklahoma",5699,867,77,3959353,1978,0.874,232,0.103,0.023,2126,40,3,5700,373,224
"39","Alger","Michigan",8842,5049,83,10077331,2053,0.4,3014,0.588,0.012,1226,26,3,8837,173,114
"40","Allamakee","Iowa",14061,640,99,3190369,4735,0.639,2576,0.347,0.014,785,19,5,14061,1062,757
"41","Allegan","Michigan",120502,1833,83,10077331,24449,0.364,41392,0.617,0.019,1227,26,5,120499,9287,7454
"42","Allegany","Maryland",68106,430,24,6177224,9158,0.3,20886,0.685,0.0149999999999999,1187,24,1,68115,1358,1085
"43","Allegany","New York",46456,1034,62,20201248,6048,0.292,14135,0.683,0.0249999999999999,1823,36,3,46446,841,670
"44","Alleghany","North Carolina",10888,236,100,10439388,4527,0.746,1486,0.245,0.009,1886,37,5,10886,1090,1004
"45","Alleghany","Virginia",15223,446,133,8631393,2243,0.274,5859,0.715,0.011,2817,51,5,15219,245,176
"46","Allegheny","Pennsylvania",1250578,745,67,13002700,429065,0.596,282324,0.392,0.012,2239,42,3,1250585,29106,19070
"47","Allen","Indiana",385410,657,92,6785528,92083,0.545,73189,0.433,0.022,692,18,3,385411,30584,23093
"48","Allen","Kansas",12526,503,105,2937880,4218,0.716,1570,0.266,0.018,882,20,1,12522,522,392
"49","Allen","Kentucky",20588,3446,120,4505836,7587,0.81,1642,0.175,0.015,988,21,3,20580,493,297
"50","Allen","Ohio",102206,404.42999,88,11799448,33116,0.69,14149,0.295,0.0150000000000001,2038,39,3,102204,3510,2513
"51","Allen Parish","Louisiana",22750,766,64,4657757,7574,0.772,2108,0.215,0.013,1108,22,3,22751,651,342
"52","Allendale","South Carolina",8039,413,46,5118425,835,0.232,2718,0.756,0.012,2312,45,5,8037,292,239
"53","Alpena","Michigan",28907,1695,83,10077331,6000,0.354,10686,0.63,0.016,1228,26,7,28909,434,304
"54","Alpine","California",1204,739,58,39538224,476,0.642,244,0.329,0.029,189,6,3,1201,148,84
"55","Amador","California",40474,606,58,39538224,8153,0.366,13585,0.609,0.025,190,6,5,40474,6023,4756
"56","Amelia","Virginia",13265,357,133,8631393,2411,0.306,5390,0.684,0.0099999999999999,2818,51,7,13262,445,290
"57","Amherst","Virginia",31307,475,133,8631393,5672,0.334,11041,0.651,0.0149999999999999,2819,51,9,31311,800,625
"58","Amite","Mississippi",12720,730,82,2961279,4503,0.626,2620,0.364,0.01,1397,28,5,12721,200,110
"59","Anchorage, Municipality of","Alaska",291247,1707,30,733391,68169,0.4697,70933,0.4887,0.0416,70,2,20,291244,28060,22061
"60","Anderson","Kansas",7836,583,105,2937880,2929,0.772,782,0.206,0.022,883,20,3,7839,197,123
"61","Anderson","Kentucky",23852,203,120,4505836,9661,0.729,3348,0.253,0.018,989,21,5,23851,506,288
"62","Anderson","South Carolina",203718,757,46,5118425,67565,0.703,27169,0.283,0.0140000000000001,2313,45,7,203723,8294,5447
"63","Anderson","Tennessee",77123,338,95,6910840,23184,0.652,11741,0.33,0.018,2422,47,1,77136,2612,1768
"64","Anderson","Texas",57922,1071,254,29145504,15110,0.786,3955,0.206,0.008,2517,48,1,57922,10521,9287
"65","Andrew","Missouri",18135,435,115,6154913,7255,0.744,2351,0.241,0.015,1478,29,3,18128,484,290
"66","Andrews","Texas",18610,1501,254,29145504,4943,0.843,850,0.145,0.012,2518,48,3,18614,10740,7195
"67","Androscoggin","Maine",111139,497,16,1362359,27617,0.47,29268,0.499,0.031,1171,23,1,111147,2202,1669
"68","Angelina","Texas",86395,802,254,29145504,25076,0.725,9143,0.264,0.011,2519,48,5,86394,19826,17145
"69","Anne Arundel","Maryland",588261,588,24,6177224,172823,0.563,127821,0.416,0.0210000000000001,1188,24,3,588265,50509,32902
"70","Anoka","Minnesota",363887,423.60999,87,5706494,100893,0.479,104902,0.498,0.023,1309,27,3,363892,18339,12020
"71","Anson","North Carolina",22055,537,100,10439388,5321,0.476,5789,0.518,0.006,1887,37,7,22052,964,812
"72","Antelope","Nebraska",6295,857,93,1961504,3093,0.863,452,0.126,0.011,1649,31,3,6292,221,178
"73","Antrim","Michigan",23431,602,83,10077331,5960,0.374,9748,0.611,0.015,1229,26,9,23428,574,404
"74","Apache","Arizona",66021,11218,15,7151502,23293,0.662,11442,0.325,0.013,98,4,1,66024,4502,4113
"75","Appanoose","Iowa",12317,496,99,3190369,4512,0.694,1891,0.291,0.0150000000000001,786,19,7,12315,299,181
"76","Appling","Georgia",18444,509,159,10711908,1784,0.213,6570,0.783,0.004,381,13,1,18440,1848,1704
"77","Appomattox","Virginia",16119,334,133,8631393,2418,0.262,6702,0.725,0.013,2820,51,11,16117,354,167
"78","Aransas","Texas",23830,252,254,29145504,9239,0.752,2916,0.237,0.011,2520,48,7,23831,6880,5690
"79","Arapahoe","Colorado",655070,804.40997,64,5773714,213607,0.61,127323,0.364,0.026,248,8,5,655058,131152,105522
"80","Archer","Texas",8560,910,254,29145504,4300,0.897,446,0.093,0.01,2521,48,9,8554,713,675
"81","Archuleta","Colorado",13359,1354.53,64,5773714,3738,0.409,5189,0.567,0.024,249,8,7,13356,2469,2148
"82","Arenac","Michigan",15002,681,83,10077331,2774,0.314,5928,0.671,0.0149999999999999,1230,26,11,15007,332,225
"83","Arkansas","Arkansas",17149,1033.79,75,3011524,4304,0.684,1818,0.289,0.027,113,5,1,17150,651,513
"84","Arlington","Virginia",238643,26,133,8631393,105344,0.813,22318,0.172,0.0150000000000001,2821,51,13,238644,37252,31382
"85","Armstrong","Pennsylvania",65558,664,67,13002700,8457,0.233,27489,0.756,0.011,2240,42,5,65553,532,366
"86","Armstrong","Texas",1848,914,254,29145504,1035,0.931,75,0.067,0.0019999999999999,2522,48,11,1846,191,124
"87","Aroostook","Maine",67105,6829,16,1362359,13956,0.39,21080,0.59,0.02,1172,23,3,67107,948,667
"88","Arthur","Nebraska",434,715,93,1961504,260,0.915,21,0.074,0.011,1650,31,5,433,18,19
"89","Ascension Parish","Louisiana",126500,303,64,4657757,40687,0.653,20399,0.327,0.02,1109,22,5,126498,7796,5024
"90","Ashe","North Carolina",26577,427,100,10439388,11451,0.725,4164,0.264,0.011,1888,37,9,26581,1347,1311
"91","Ashland","Ohio",52447,424.37,88,11799448,19407,0.735,6541,0.248,0.017,2039,39,5,52443,884,501
"92","Ashland","Wisconsin",16027,1045.04,72,5893718,4801,0.55,3841,0.44,0.01,3042,55,3,16033,511,302
"93","Ashley","Arkansas",19062,939.08002,75,3011524,5548,0.7,2125,0.268,0.032,114,5,3,19064,1166,1069
"94","Ashtabula","Ohio",97574,702.44,88,11799448,26890,0.609,16497,0.374,0.017,2040,39,7,97596,4573,3441
"95","Asotin","Washington",22285,636,39,7705281,4250,0.358,7319,0.616,0.026,2948,53,3,22288,1023,643
"96","Assumption Parish","Louisiana",21039,364,64,4657757,7271,0.647,3833,0.341,0.012,1110,22,7,21040,736,498
"97","Atascosa","Texas",48981,1232,254,29145504,12039,0.665,5876,0.324,0.011,2523,48,13,48985,31976,27785
"98","Atchison","Kansas",16348,432,105,2937880,4906,0.659,2359,0.317,0.024,884,20,5,16341,531,383
"99","Atchison","Missouri",5305,545,115,6154913,2199,0.781,564,0.2,0.019,1479,29,5,5306,89,55
"100","Athens","Ohio",62431,506.76001,88,11799448,10862,0.417,14772,0.567,0.016,2041,39,9,62421,1240,1002
"101","Atkinson","Georgia",8286,338,159,10711908,825,0.261,2300,0.729,0.01,382,13,3,8289,2247,2039
"102","Atlantic","New Jersey",274534,561,21,9288994,73808,0.527,64438,0.46,0.013,1768,34,1,274536,54149,46241
"103","Atoka","Oklahoma",14143,978,77,3959353,4557,0.846,765,0.142,0.012,2127,40,5,14135,595,409
"104","Attala","Mississippi",17889,735,82,2961279,5178,0.587,3542,0.401,0.012,1398,28,7,17885,390,323
"105","Audrain","Missouri",24962,693,115,6154913,7732,0.726,2704,0.254,0.02,1480,29,7,24964,869,665
"106","Audubon","Iowa",5674,443,99,3190369,2295,0.672,1071,0.314,0.014,787,19,9,5676,124,37
"107","Auglaize","Ohio",46422,401.25,88,11799448,20798,0.807,4651,0.18,0.013,2042,39,11,46421,868,543
"108","Augusta","Virginia",77487,971,133,8631393,10840,0.257,30714,0.728,0.015,2822,51,15,77485,2617,1525
"109","Aurora","South Dakota",2747,708,66,886667,1052,0.749,317,0.226,NA,2356,46,3,2746,212,101
"110","Austin","Texas",30167,653,254,29145504,11447,0.787,2951,0.203,0.01,2524,48,15,30168,8544,6641
"111","Autauga","Alabama",58805,594.44,67,5024279,19838,0.716,7503,0.271,0.013,1,1,1,58802,1843,1310
"112","Avery","North Carolina",17806,247,100,10439388,7172,0.76,2191,0.232,0.008,1889,37,11,17812,886,797
"113","Avoyelles Parish","Louisiana",39693,866,64,4657757,12028,0.696,4979,0.288,0.0160000000000001,1111,22,9,39690,852,606
"114","Baca","Colorado",3506,2558.48,64,5773714,317,0.142,1867,0.839,0.019,250,8,9,3510,414,348
"115","Bacon","Georgia",11140,285,159,10711908,625,0.134,4017,0.861,0.005,383,13,5,11140,961,791
"116","Bailey","Texas",6904,827,254,29145504,1434,0.771,409,0.22,0.009,2525,48,17,6904,4411,4283
"117","Baker","Florida",28259,585,67,21538088,11911,0.847,2037,0.145,0.008,315,12,3,28263,847,520
"118","Baker","Georgia",2876,343,159,10711908,652,0.419,897,0.577,0.004,384,13,7,2875,191,145
"119","Baker","Oregon",16668,3068,36,4237256,2346,0.237,7352,0.743,0.02,2202,41,1,16666,825,528
"120","Baldwin","Alabama",231767,1589.78,67,5024279,83544,0.764,24578,0.225,0.011,2,1,3,231761,10917,7992
"121","Baldwin","Georgia",43799,258,159,10711908,9140,0.501,8903,0.488,0.011,385,13,9,43795,1133,919
"122","Ballard","Kentucky",7728,251,120,4505836,3356,0.794,825,0.195,0.011,990,21,7,7730,120,90
"123","Baltimore","Maryland",854535,682,24,6177224,258409,0.627,146202,0.355,0.018,1189,24,510,585693,34124,25960
"124","Baltimore","Maryland",854535,682,24,6177224,258409,0.627,146202,0.355,0.018,1190,24,5,854554,51374,33735
"125","Baltimore","Maryland",585708,695,24,6177224,207260,0.878,25374,0.107,0.015,1189,24,510,585693,34124,25960
"126","Baltimore","Maryland",585708,695,24,6177224,207260,0.878,25374,0.107,0.015,1190,24,5,854554,51374,33735
"127","Bamberg","South Carolina",13311,395,46,5118425,2417,0.373,4010,0.619,0.008,2314,45,9,13313,326,258
"128","Bandera","Texas",20851,792,254,29145504,10057,0.791,2505,0.197,0.012,2526,48,19,20843,4190,3415
"129","Banks","Georgia",18035,234,159,10711908,932,0.106,7795,0.886,0.008,386,13,11,18037,1346,1041
"130","Banner","Nebraska",674,746,93,1961504,362,0.883,43,0.105,0.012,1651,31,7,674,54,26
"131","Bannock","Idaho",87018,1113,44,1839106,23331,0.59,14682,0.371,0.039,547,16,5,87017,8046,5587
"132","Baraga","Michigan",8158,1069,83,10077331,1478,0.366,2512,0.622,0.012,1231,26,13,8149,147,86
"133","Barber","Kansas",4228,1134,105,2937880,2014,0.86,291,0.124,0.016,885,20,7,4233,231,119
"134","Barbour","Alabama",25223,884.88,67,5024279,5622,0.535,4816,0.458,0.007,3,1,5,25224,1201,1387
"135","Barbour","West Virginia",15465,341,55,1793716,5116,0.766,1457,0.218,0.016,2986,54,1,15462,185,96
"136","Barnes","North Dakota",10853,1492,53,779094,3568,0.643,1820,0.328,0.029,1985,38,3,10848,253,123
"137","Barnstable","Massachusetts",228996,396,14,7029917,91994,0.614,55311,0.369,0.017,1211,25,1,229004,8015,4687
"138","Barnwell","South Carolina",20589,557,46,5118425,5492,0.532,4720,0.457,0.011,2315,45,11,20585,579,411
"139","Barren","Kentucky",44485,491,120,4505836,14654,0.731,5127,0.256,0.013,991,21,9,44482,1580,1110
"140","Barron","Wisconsin",46711,862.71002,72,5893718,9194,0.363,15803,0.624,0.013,3043,55,5,46709,1328,862
"141","Barrow","Georgia",83505,162,159,10711908,10453,0.276,26804,0.707,0.017,387,13,13,83507,10609,6037
"142","Barry","Michigan",62423,577,83,10077331,11797,0.329,23471,0.654,0.017,1232,26,15,62428,2138,1336
"143","Barry","Missouri",34534,779,115,6154913,12425,0.797,2948,0.189,0.014,1481,29,9,34533,3377,2745
"144","Bartholomew","Indiana",82208,407,92,6785528,22410,0.619,12934,0.357,0.024,693,18,5,82218,6501,4762
"145","Barton","Kansas",25493,894,105,2937880,8608,0.773,2340,0.21,0.017,886,20,9,25495,4027,3683
"146","Barton","Missouri",11637,594,115,6154913,5168,0.85,844,0.139,0.011,1482,29,11,11625,353,231
"147","Bartow","Georgia",108901,460,159,10711908,12091,0.24,37672,0.747,0.013,388,13,15,108888,10308,7690
"148","Bastrop","Texas",97216,888,254,29145504,20516,0.56,15474,0.422,0.018,2527,48,21,97218,39637,24190
"149","Bates","Missouri",16042,848,115,6154913,6597,0.784,1672,0.199,0.017,1483,29,13,16032,434,275
"150","Bath","Kentucky",12750,279,120,4505836,3986,0.708,1573,0.28,0.012,992,21,11,12747,215,157
"151","Bath","Virginia",4209,532,133,8631393,646,0.259,1834,0.735,0.006,2823,51,17,4205,97,101
"152","Baxter","Arkansas",41627,586.73999,75,3011524,15836,0.754,4635,0.221,0.025,115,5,5,41633,1104,688
"153","Bay","Florida",175216,764,67,21538088,66097,0.711,25614,0.275,0.014,316,12,5,175204,12088,8107
"154","Bay","Michigan",103856,631,83,10077331,26151,0.434,33125,0.55,0.016,1233,26,17,103856,5937,5093
"155","Bayfield","Wisconsin",16220,1477.86,72,5893718,6147,0.566,4617,0.425,0.0090000000000001,3044,55,7,16213,396,158
"156","Baylor","Texas",3465,871,254,29145504,1494,0.879,183,0.108,0.013,2528,48,23,3465,517,455
"157","Beadle","South Dakota",19149,1259,66,886667,4808,0.679,2107,0.298,NA,2357,46,5,19153,2234,1337
"158","Bear Lake","Idaho",6372,971,44,1839106,2914,0.879,350,0.106,0.015,548,16,7,6371,273,216
"159","Beaufort","North Carolina",44652,959,100,10439388,16437,0.626,9633,0.367,0.007,1890,37,13,44658,3765,3166
"160","Beaufort","South Carolina",187117,576,46,5118425,53194,0.544,43419,0.444,0.012,2316,45,13,187108,21212,19567
"161","Beauregard Parish","Louisiana",36549,1166,64,4657757,13575,0.83,2542,0.155,0.015,1112,22,11,36554,1417,1003
"162","Beaver","Oklahoma",5049,1814,77,3959353,1968,0.904,190,0.087,0.009,2128,40,7,5052,1314,1135
"163","Beaver","Pennsylvania",168215,444,67,13002700,38122,0.405,54759,0.582,0.013,2241,42,7,168228,3178,1998
"164","Beaver","Utah",7072,2592,29,3271616,2695,0.869,357,0.115,0.016,2771,49,1,7074,903,716
"165","Beaverhead","Montana",9371,5543,56,1084225,3923,0.693,1608,0.284,0.0230000000000001,1592,30,1,9374,521,338
"166","Becker","Minnesota",35183,1310.42,87,5706494,6589,0.34,12438,0.643,0.0169999999999999,1310,27,5,35176,810,398
"167","Beckham","Oklahoma",22410,902,77,3959353,6767,0.851,1048,0.132,0.017,2129,40,9,22411,3601,2619
"168","Bedford","Pennsylvania",47577,1015,67,13002700,4367,0.158,23025,0.835,0.007,2242,42,9,47573,591,450
"169","Bedford","Tennessee",50237,474,95,6910840,14354,0.752,4453,0.233,0.015,2423,47,3,50239,6762,5083
"170","Bedford","Virginia",79462,755,133,8631393,12176,0.251,35600,0.734,0.015,2824,51,19,79465,2082,1090
"171","Bee","Texas",31047,880,254,29145504,6006,0.638,3288,0.349,0.013,2529,48,25,31061,18550,17906
"172","Belknap","New Hampshire",63705,401,10,1377529,16894,0.44,20899,0.544,0.016,1758,33,1,63709,1236,724
"173","Bell","Kentucky",24097,361,120,4505836,8140,0.81,1789,0.178,0.012,993,21,13,24102,319,198
"174","Bell","Texas",370647,1059,254,29145504,67893,0.533,57014,0.448,0.019,2530,48,27,370644,96582,67010
"175","Belmont","Ohio",66497,537.34998,88,11799448,23560,0.712,9138,0.276,0.012,2043,39,13,66495,772,429
"176","Beltrami","Minnesota",46228,2505.27,87,5706494,11426,0.473,12188,0.505,0.022,1311,27,7,46230,1180,676
"177","Ben Hill","Georgia",17194,252,159,10711908,2393,0.365,4111,0.626,0.009,389,13,17,17195,1131,1026
"178","Benewah","Idaho",9530,776,44,1839106,3878,0.78,977,0.196,0.024,549,16,9,9531,398,235
"179","Bennett","South Dakota",3381,1185,66,886667,694,0.587,466,0.394,NA,2358,46,7,3378,217,67
"180","Bennington","Vermont",37347,2461,14,643077,12705,0.623,7114,0.349,0.028,2801,50,3,37344,864,525
"181","Benson","North Dakota",5964,1389,53,779094,1094,0.56,822,0.42,0.02,1986,38,5,5951,258,77
"182","Bent","Colorado",5650,1541.0699,64,5773714,732,0.322,1503,0.661,0.0169999999999999,251,8,11,5651,1838,1985
"183","Benton","Arkansas",284333,884.85999,75,3011524,73965,0.617,42249,0.352,0.031,116,5,7,284329,49097,34283
"184","Benton","Indiana",8719,406,92,6785528,3007,0.732,1009,0.246,0.022,694,18,7,8720,517,431
"185","Benton","Iowa",25575,716,99,3190369,9188,0.628,5160,0.353,0.019,788,19,11,25571,438,275
"186","Benton","Minnesota",41379,408.28,87,5706494,7280,0.328,14382,0.647,0.0249999999999999,1312,27,9,41381,1253,632
"187","Benton","Mississippi",7646,407,82,2961279,2570,0.599,1679,0.391,0.01,1399,28,9,7644,241,148
"188","Benton","Missouri",19394,706,115,6154913,8109,0.774,2180,0.208,0.018,1484,29,15,19395,432,291
"189","Benton","Oregon",95184,676,36,4237256,35827,0.685,14878,0.284,0.031,2203,41,3,95183,7600,5467
"190","Benton","Tennessee",15864,394,95,6910840,5668,0.781,1529,0.211,0.008,2424,47,5,15863,414,291
"191","Benton","Washington",206873,1700,39,7705281,38706,0.378,60365,0.59,0.032,2949,53,5,206875,48113,32696
"192","Benzie","Michigan",17970,860,83,10077331,5480,0.447,6601,0.538,0.0149999999999999,1234,26,19,17973,422,302
"193","Bergen","New Jersey",955732,234,21,9288994,285967,0.577,204417,0.412,0.0110000000000001,1769,34,3,955746,205216,145281
"194","Berkeley","South Carolina",229861,1228,46,5118425,57397,0.549,45223,0.433,0.018,2317,45,15,229854,16518,10755
"195","Berkeley","West Virginia",122076,321,55,1793716,33279,0.646,17186,0.333,0.021,2987,54,3,122078,6159,3961
"196","Berks","Pennsylvania",428849,866,67,13002700,92895,0.452,109736,0.534,0.014,2243,42,11,428840,98956,67355
"197","Berkshire","Massachusetts",129026,931,14,7029917,51705,0.727,18064,0.254,0.019,1212,25,3,129036,6832,4530
"198","Bernalillo","New Mexico",676444,1166,33,2117522,193757,0.61,116135,0.366,0.024,1789,35,1,676438,343197,317089
"199","Berrien","Georgia",18160,452,159,10711908,1269,0.164,6419,0.829,0.007,390,13,19,18166,1057,885
"200","Berrien","Michigan",154316,1581,83,10077331,37438,0.454,43519,0.528,0.018,1235,26,21,154320,9105,7054
"201","Bertie","North Carolina",17934,741,100,10439388,3817,0.389,5939,0.606,0.005,1891,37,15,17934,425,267
"202","Bethel Census Area","Alaska",18666,40627,30,733391,1670,0.327,3085,0.6041,0.0689,71,2,50,18670,404,181
"203","Bexar","Texas",2009324,1247,254,29145504,308618,0.401,448452,0.583,0.016,2531,48,29,2009322,1226974,1006958
"204","Bibb","Alabama",22293,622.58002,67,5024279,7525,0.785,1986,0.207,0.008,4,1,7,22300,643,406
"205","Bibb","Georgia",157346,250,159,10711908,43408,0.614,26559,0.376,0.01,391,13,21,157347,5796,4389
"206","Bienville Parish","Louisiana",12981,822,64,4657757,3891,0.552,3067,0.435,0.013,1113,22,13,12989,272,207
"207","Big Horn","Montana",13124,4995,56,1084225,2207,0.461,2491,0.521,0.0179999999999999,1593,30,3,13127,812,510
"208","Big Horn","Wyoming",11521,3137,23,576851,4806,0.841,788,0.138,0.021,3114,56,3,11521,1106,984
"209","Big Stone","Minnesota",5166,496.95001,87,5706494,1053,0.355,1863,0.627,0.018,1313,27,11,5168,111,41
"210","Billings","North Dakota",945,1152,53,779094,541,0.853,72,0.114,0.033,1987,38,7,945,22,4
"211","Bingham","Idaho",47992,2095,44,1839106,15295,0.765,4124,0.206,0.029,550,16,11,47995,8702,7864
"212","Black Hawk","Iowa",131144,567,99,3190369,29640,0.446,35647,0.537,0.017,789,19,13,131147,6184,4907
"213","Blackford","Indiana",12112,165,92,6785528,3841,0.718,1376,0.257,0.025,695,18,9,12115,232,117
"214","Bladen","North Carolina",29606,887,100,10439388,9676,0.566,7326,0.428,0.0060000000000001,1892,37,17,29617,2348,2502
"215","Blaine","Idaho",24272,2645,44,1839106,4032,0.303,8919,0.671,0.026,551,16,13,24275,5737,4272
"216","Blaine","Montana",7044,4226,56,1084225,1469,0.471,1589,0.51,0.019,1594,30,5,7042,251,115
"217","Blaine","Nebraska",431,711,93,1961504,280,0.883,35,0.11,0.007,1652,31,9,432,10,0
"218","Blaine","Oklahoma",8735,929,77,3959353,3136,0.804,688,0.176,0.02,2130,40,11,8731,1180,2873
"219","Blair","Pennsylvania",122822,527,67,13002700,17636,0.277,45306,0.712,0.011,2244,42,13,122820,1698,1230
"220","Blanco","Texas",11374,711,254,29145504,5443,0.731,1911,0.257,0.012,2532,48,31,11376,2310,1909
"221","Bland","Virginia",6270,359,133,8631393,532,0.153,2903,0.835,0.012,2825,51,21,6274,61,39
"222","Bleckley","Georgia",12583,217,159,10711908,1312,0.23,4329,0.758,0.012,392,13,23,12585,406,301
"223","Bledsoe","Tennessee",14913,406,95,6910840,4725,0.821,971,0.169,0.01,2425,47,7,14916,444,255
"224","Blount","Alabama",59134,644.78003,67,5024279,24711,0.897,2640,0.096,0.007,5,1,9,59130,5670,4626
"225","Blount","Tennessee",135280,559,95,6910840,47369,0.711,17932,0.269,0.02,2426,47,9,135283,5106,3441
"226","Blue Earth","Minnesota",69112,752.35999,87,5706494,18330,0.51,16731,0.465,0.025,1314,27,13,69129,2832,1586
"227","Boise","Idaho",7610,1902,44,1839106,3485,0.723,1204,0.25,0.027,552,16,15,7613,437,249
"228","Bolivar","Mississippi",30985,876,82,2961279,4671,0.34,8904,0.648,0.0119999999999999,1400,28,11,30973,719,639
"229","Bollinger","Missouri",10567,621,115,6154913,5167,0.864,750,0.125,0.011,1485,29,17,10572,175,98
"230","Bon Homme","South Dakota",7003,563,66,886667,2235,0.745,721,0.24,NA,2359,46,9,6997,198,130
"231","Bond","Illinois",16725,380,102,12812508,2288,0.281,5625,0.691,0.028,591,17,5,16729,632,547
"232","Bonner","Idaho",47110,1738,44,1839106,18369,0.672,8310,0.304,0.024,553,16,17,47105,1703,911
"233","Bonneville","Idaho",123964,1869,44,1839106,37805,0.7,14254,0.264,0.036,554,16,19,123955,16913,11912
"234","Boone","Arkansas",37373,601.82001,75,3011524,13652,0.798,3064,0.179,0.023,117,5,9,37372,1027,674
"235","Boone","Illinois",53448,280,102,12812508,10542,0.422,13883,0.556,0.022,592,17,7,53446,12422,10967
"236","Boone","Indiana",70812,423,92,6785528,22351,0.581,15244,0.396,0.023,696,18,11,70814,2384,1270
"237","Boone","Iowa",26715,572,99,3190369,8695,0.568,6303,0.412,0.0200000000000001,790,19,15,26715,752,505
"238","Boone","Kentucky",135968,246,120,4505836,44814,0.669,20901,0.312,0.019,994,21,15,135995,6097,4205
