"","county","state","pop_county","area","num_county","pop_state","rep_vote","rep_vote_pct","dem_vote","dem_vote_pct","third_pct","X","STATE","COUNTY","TOT_POP","total_hispanic_2020","total_hispanic_2010"
"1872","McLennan","Texas",260579,1042,254,29145504,59543,0.609,36688,0.375,0.016,2677,48,309,260582,70607,55471
"1873","McLeod","Minnesota",36771,491.91,87,5706494,6413,0.307,13986,0.67,0.023,1353,27,85,36759,2541,1811
"1874","McMinn","Tennessee",53276,307,95,6910840,18198,0.797,4361,0.191,0.012,2480,47,107,53275,2392,1482
"1875","McMullen","Texas",600,1113,254,29145504,460,0.891,53,0.103,0.006,2678,48,311,600,256,261
"1876","McNairy","Tennessee",25866,557,95,6910840,9093,0.806,1943,0.172,0.022,2481,47,109,25859,619,396
"1877","McPherson","Kansas",30223,943,105,2937880,9964,0.69,4134,0.286,0.0240000000000001,940,20,113,30220,1435,1025
"1878","McPherson","Nebraska",399,573,93,1961504,275,0.911,17,0.056,0.033,1707,31,117,400,9,2
"1879","McPherson","South Dakota",2411,575,66,886667,1075,0.812,222,0.168,NA,2400,46,89,2409,32,25
"1880","Meade","Kansas",4055,978,105,2937880,1523,0.835,263,0.144,0.021,941,20,119,4055,790,676
"1881","Meade","Kentucky",30003,308,120,4505836,10185,0.722,3632,0.257,0.021,1068,21,163,30011,1210,859
"1882","Meade","South Dakota",29852,3471,66,886667,9875,0.722,3285,0.24,NA,2401,46,93,29851,1309,773
"1883","Meagher","Montana",1927,232,56,1084225,833,0.75,258,0.232,0.018,1621,30,59,1926,37,28
"1884","Mecklenburg","North Carolina",1115482,546,100,10439388,179211,0.317,378107,0.669,0.014,1943,37,119,1115526,154714,111944
"1885","Mecklenburg","Virginia",30319,624,133,8631393,6803,0.42,9266,0.573,0.0070000000000001,2893,51,117,30315,927,806
"1886","Mecosta","Michigan",39714,571,83,10077331,7375,0.35,13267,0.63,0.02,1278,26,107,39713,1023,731
"1887","Medina","Ohio",182470,423,88,11799448,64598,0.611,39800,0.376,0.013,2088,39,103,182475,4555,2747
"1888","Medina","Texas",50748,1328,254,29145504,15642,0.691,6773,0.299,0.0100000000000001,2679,48,325,50739,26878,22871
"1889","Meeker","Minnesota",23400,608.53998,87,5706494,3867,0.287,9359,0.693,0.0200000000000001,1354,27,93,23400,997,767
"1890","Meigs","Ohio",22210,429.42001,88,11799448,8316,0.759,2492,0.228,0.013,2089,39,105,22197,171,115
"1891","Meigs","Tennessee",12758,195,95,6910840,4467,0.807,1008,0.182,0.011,2482,47,121,12755,305,176
"1892","Mellette","South Dakota",1918,1307,66,886667,449,0.584,298,0.388,NA,2402,46,95,1920,72,30
"1893","Menard","Illinois",12297,314,102,12812508,2022,0.292,4764,0.688,0.02,653,17,129,12296,189,121
"1894","Menard","Texas",1962,902,254,29145504,823,0.801,197,0.192,0.007,2680,48,327,1964,733,790
"1895","Mendocino","California",91601,3509,58,39538224,28782,0.664,13267,0.306,0.03,210,6,45,91595,24287,19505
"1896","Menifee","Kentucky",6113,204,120,4505836,2311,0.745,750,0.242,0.013,1069,21,165,6114,68,51
"1897","Menominee","Michigan",23502,1338,83,10077331,4316,0.342,8117,0.644,0.0139999999999999,1279,26,109,23500,475,278
"1898","Menominee","Wisconsin",4255,357.60999,72,5893718,1303,0.819,278,0.175,0.0060000000000001,3080,55,78,4250,324,178
"1899","Merced","California",281202,1929,58,39538224,48991,0.541,39397,0.435,0.024,211,6,47,281202,173522,140485
"1900","Mercer","Illinois",15699,561,102,12812508,3280,0.369,5418,0.609,0.022,654,17,131,15694,421,307
"1901","Mercer","Kentucky",22641,251,120,4505836,8506,0.725,3033,0.258,0.017,1070,21,167,22643,741,490
"1902","Mercer","Missouri",3538,454,115,6154913,1541,0.866,222,0.125,0.009,1541,29,129,3537,108,28
"1903","Mercer","New Jersey",387340,226,21,9288994,122532,0.694,51641,0.292,0.0140000000000001,1778,34,21,387340,73765,55318
"1904","Mercer","North Dakota",8350,1045,53,779094,3856,0.827,704,0.151,0.022,2012,38,57,8354,219,121
"1905","Mercer","Ohio",42528,463.26999,88,11799448,19452,0.819,4030,0.17,0.011,2090,39,107,42528,835,614
"1906","Mercer","Pennsylvania",110652,683,67,13002700,21067,0.364,36143,0.624,0.012,2280,42,85,110656,1750,1248
"1907","Mercer","West Virginia",59664,420,55,1793716,19237,0.765,5556,0.221,0.014,3013,54,55,59660,755,480
"1908","Meriwether","Georgia",20613,503,159,10711908,4287,0.394,6524,0.6,0.006,479,13,199,20610,555,347
"1909","Merrick","Nebraska",7668,485,93,1961504,3419,0.803,743,0.175,0.022,1708,31,121,7659,408,271
"1910","Merrimack","New Hampshire",153808,934,10,1377529,48533,0.54,39711,0.442,0.018,1764,33,13,153800,3749,2339
"1911","Mesa","Colorado",155703,3345.6899,64,5773714,31536,0.348,56894,0.628,0.024,285,8,77,155710,23411,19552
"1912","Metcalfe","Kentucky",10286,291,120,4505836,3959,0.79,975,0.195,0.015,1071,21,169,10288,207,115
"1913","Miami","Indiana",35962,374,92,6785528,10925,0.755,3235,0.224,0.021,742,18,103,35972,1311,906
"1914","Miami","Kansas",34191,577,105,2937880,12308,0.686,5247,0.293,0.021,942,20,121,34205,1167,828
"1915","Miami","Ohio",108774,407.04001,88,11799448,41371,0.714,15663,0.27,0.016,2091,39,109,108777,2109,1341
"1916","Miami-Dade","Florida",2701767,1946,67,21538088,532833,0.461,617864,0.534,0.0049999999999999,356,12,86,2701762,1863346,1623859
"1917","Middlesex","Massachusetts",1632002,824,14,7029917,617196,0.718,226956,0.264,0.018,1219,25,17,1632002,136114,98350
"1918","Middlesex","New Jersey",863162,311,21,9288994,226250,0.604,143467,0.383,0.013,1779,34,23,863183,191523,148975
"1919","Middlesex","Virginia",10625,130,133,8631393,2491,0.368,4196,0.62,0.012,2894,51,119,10626,327,166
"1920","Midland","Michigan",83494,528,83,10077331,20493,0.418,27675,0.564,0.0180000000000001,1280,26,111,83498,2598,1704
"1921","Midland","Texas",169983,900,254,29145504,45624,0.775,12329,0.209,0.016,2681,48,329,169984,79745,51600
"1922","Mifflin","Pennsylvania",46143,415,67,13002700,4603,0.214,16670,0.775,0.011,2281,42,87,46145,810,534
"1923","Milam","Texas",24754,1017,254,29145504,7984,0.755,2496,0.236,0.009,2682,48,331,24750,6785,5780
