county,state,pop_county,area,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct
Fairbanks North Star Borough,Alaska,95655,7335,30,733391,24917,.551,18138,.4011,.0479
Haines Borough,Alaska,2080,2343,30,733391,986,.3755,1579,.6012999999999999,.0232
Hoonah–Angoon Census Area,Alaska,2365,6555,30,733391,577,.2508,1645,.7149,.0343
"Juneau, City and Borough of",Alaska,32255,2704,30,733391,6210,.3511,10834,.6125,.0364
Kenai Peninsula Borough,Alaska,58799,16017,30,733391,21761,.641,10965,.323,.036
Ketchikan Gateway Borough,Alaska,13948,4857,30,733391,3985,.5879,2467,.364,.0481
Kodiak Island Borough,Alaska,13101,6689,30,733391,3756,.5684,2523,.3818,.0498
Kusilvak Census Area,Alaska,8368,17077,30,733391,569,.2918,1209,.62,.0882
Lake and Peninsula Borough,Alaska,1476,23832,30,733391,234,.3634,358,.5558999999999999,.0807
Matanuska-Susitna Borough,Alaska,107081,24707,30,733391,38492,.719,12849,.24,.041
Nome Census Area,Alaska,10046,22969,30,733391,1287,.3509,2131,.581,.0682
North Slope Borough,Alaska,11031,88824,30,733391,1197,.4792,1134,.454,.0669
Northwest Arctic Borough,Alaska,7793,35663,30,733391,735,.3858,1031,.5412,.073
Petersburg Borough,Alaska,3398,2901,30,733391,1002,.6231,534,.3321,.0448
Prince of Wales – Hyder Census Area,Alaska,5753,5268,30,733391,1930,.4399,2321,.5291,.031
"Sitka, City and Borough of",Alaska,8458,2870,30,733391,1745,.4329,2124,.5269,.0402
"Skagway, Municipality of",Alaska,1240,434,30,733391,217,.2275,679,.7117,.0608
Southeast Fairbanks Census Area,Alaska,6808,24831,30,733391,2823,.7619,748,.2019,.0362
"Wrangell, City and Borough of",Alaska,2127,2556,30,733391,827,.6476,396,.3101,.0423
"Yakutat, City and Borough of",Alaska,662,7623,30,733391,133,.4196,160,.5047,.0757
Yukon–Koyukuk Census Area,Alaska,5343,145576,30,733391,965,.34,1740,.6131,.0469
Apache,Arizona,66021,11218,15,7151502,23293,.662,11442,.325,.013
Cochise,Arizona,125447,6219,15,7151502,23732,.393,35557,.588,.019
Coconino,Arizona,145101,18661,15,7151502,44698,.61,27052,.369,.021
Gila,Arizona,53272,4796,15,7151502,8943,.323,18377,.664,.013
Graham,Arizona,38533,4641,15,7151502,4034,.269,10749,.717,.014
Greenlee,Arizona,9563,1848,15,7151502,1182,.321,2433,.66,.019
La Paz,Arizona,16557,4513,15,7151502,2236,.3,5129,.6879999999999999,.012
Maricopa,Arizona,4420568,9224,15,7151502,1040774,.503,995665,.481,.016
Mohave,Arizona,213267,13470,15,7151502,24831,.237,78535,.75,.013
Navajo,Arizona,106717,9959,15,7151502,23383,.452,27657,.534,.014
Pima,Arizona,1043433,9189,15,7151502,304981,.586,207758,.399,.015
Pinal,Arizona,425264,5374,15,7151502,75106,.406,107077,.579,.015
Santa Cruz,Arizona,47669,1238,15,7151502,13138,.672,6194,.317,.011
Yavapai,Arizona,236209,8128,15,7151502,49602,.346,91527,.639,.015
Yuma,Arizona,203881,5519,15,7151502,32210,.461,36534,.523,.0159999999999999
Arkansas,Arkansas,17149,1033.79,75,3011524,4304,.6840000000000001,1818,.289,.027
Ashley,Arkansas,19062,939.08002,75,3011524,5548,.7,2125,.268,.032
Baxter,Arkansas,41627,586.73999,75,3011524,15836,.754,4635,.221,.025
Benton,Arkansas,284333,884.85999,75,3011524,73965,.617,42249,.352,.031
Boone,Arkansas,37373,601.82001,75,3011524,13652,.798,3064,.179,.023
Bradley,Arkansas,10545,654.38,75,3011524,2335,.639,1214,.332,.029
Calhoun,Arkansas,4739,632.53998,75,3011524,1636,.75,479,.22,.03
Carroll,Arkansas,28260,638.81,75,3011524,7424,.629,4023,.341,.03
Chicot,Arkansas,10208,690.88,75,3011524,1752,.427,2260,.551,.0219999999999999
Clark,Arkansas,21446,882.59998,75,3011524,4616,.55,3438,.41,.04
Clay,Arkansas,14552,641.12,75,3011524,4086,.788,962,.186,.026
Cleburne,Arkansas,24711,591.90997,75,3011524,10328,.8149999999999999,1988,.157,.0280000000000001
Cleveland,Arkansas,7550,598.79999,75,3011524,2867,.796,651,.181,.023
Columbia,Arkansas,22801,766.85999,75,3011524,5500,.638,2814,.327,.035
Conway,Arkansas,20715,566.65997,75,3011524,5694,.656,2615,.301,.043
Craighead,Arkansas,111231,712.97998,75,3011524,25558,.664,11921,.31,.026
Crawford,Arkansas,60133,604.20001,75,3011524,18607,.772,4959,.206,.022
Crittenden,Arkansas,48163,636.73999,75,3011524,7333,.448,8514,.52,.032
Cross,Arkansas,16833,622.33002,75,3011524,4946,.712,1772,.255,.033
Dallas,Arkansas,6482,668.15997,75,3011524,1573,.594,963,.364,.042
Desha,Arkansas,11395,819.52002,75,3011524,1921,.461,2016,.484,.0549999999999999
Drew,Arkansas,17350,835.65002,75,3011524,4349,.63,2426,.351,.019
Faulkner,Arkansas,123498,664.01001,75,3011524,34421,.632,18347,.337,.031
Franklin,Arkansas,17097,619.69,75,3011524,5677,.796,1300,.182,.022
Fulton,Arkansas,12075,620.32001,75,3011524,3961,.774,1035,.202,.024
Garland,Arkansas,100180,734.57001,75,3011524,29069,.658,14045,.318,.024
Grant,Arkansas,17958,633.01001,75,3011524,6794,.829,1268,.155,.016
Greene,Arkansas,45736,579.65002,75,3011524,12670,.787,3058,.19,.023
Hempstead,Arkansas,20065,741.35999,75,3011524,4470,.653,2138,.312,.035
Hot Spring,Arkansas,33040,622.15997,75,3011524,9202,.733,3082,.245,.022
Howard,Arkansas,12785,595.20001,75,3011524,3367,.697,1340,.277,.026
Independence,Arkansas,37938,771.57001,75,3011524,11250,.775,2806,.193,.032
Izard,Arkansas,13577,584.02002,75,3011524,4631,.797,1021,.176,.027
Jackson,Arkansas,16755,641.45001,75,3011524,3593,.706,1365,.268,.026
Jefferson,Arkansas,67260,913.70001,75,3011524,9521,.378,14981,.595,.027
Johnson,Arkansas,25749,682.73999,75,3011524,6938,.73,2283,.24,.03
Lafayette,Arkansas,6308,545.07001,75,3011524,1757,.656,839,.313,.031
Lawrence,Arkansas,16216,592.34003,75,3011524,4569,.78,1080,.184,.036
Lee,Arkansas,8600,619.46997,75,3011524,1286,.452,1423,.5,.048
Lincoln,Arkansas,12941,572.16998,75,3011524,2729,.704,1032,.266,.03
Little River,Arkansas,12026,564.87,75,3011524,3715,.718,1226,.237,.045
Logan,Arkansas,21131,731.5,75,3011524,6441,.783,1544,.188,.029
Lonoke,Arkansas,74015,802.42999,75,3011524,22884,.746,6686,.218,.036
Madison,Arkansas,16521,837.06,75,3011524,5658,.77,1563,.213,.017
Marion,Arkansas,16826,640.39001,75,3011524,5783,.771,1531,.204,.025
Miller,Arkansas,42600,637.47998,75,3011524,11920,.721,4245,.257,.022
Mississippi,Arkansas,40685,919.72998,75,3011524,7296,.591,4558,.369,.04
Monroe,Arkansas,6799,621.40997,75,3011524,1545,.549,1147,.407,.044
Montgomery,Arkansas,8484,800.28998,75,3011524,3046,.786,731,.189,.025
Nevada,Arkansas,8310,620.78003,75,3011524,2133,.635,1076,.32,.045
Newton,Arkansas,7225,823.17999,75,3011524,3192,.798,709,.177,.025
Ouachita,Arkansas,22650,739.63,75,3011524,5294,.55,3995,.415,.035
Perry,Arkansas,10019,560.46997,75,3011524,3479,.752,1012,.219,.029
Phillips,Arkansas,16568,727.28998,75,3011524,2417,.387,3623,.58,.033
Pike,Arkansas,10171,613.88,75,3011524,3519,.829,644,.152,.019
Poinsett,Arkansas,22965,763.39001,75,3011524,5918,.787,1424,.189,.024
Polk,Arkansas,19221,862.41998,75,3011524,7035,.829,1246,.147,.024
Pope,Arkansas,63381,830.78998,75,3011524,18081,.74,5772,.236,.024
Prairie,Arkansas,8282,675.76001,75,3011524,2786,.797,654,.187,.016
Pulaski,Arkansas,399125,807.84003,75,3011524,63687,.375,101947,.6,.025
Randolph,Arkansas,18571,656.03998,75,3011524,5355,.786,1215,.178,.036
Saline,Arkansas,123416,730.46002,75,3011524,39556,.694,16060,.282,.0240000000000001
Scott,Arkansas,9836,898.09003,75,3011524,2962,.834,483,.136,.03
Searcy,Arkansas,7828,668.51001,75,3011524,3365,.837,588,.146,.017
Sebastian,Arkansas,127799,546.03998,75,3011524,31198,.662,14487,.307,.031
Sevier,Arkansas,15839,581.34998,75,3011524,3884,.747,1116,.215,.038
Sharp,Arkansas,17271,606.34998,75,3011524,5938,.785,1398,.185,.03
St. Francis,Arkansas,23090,642.40002,75,3011524,3242,.456,3604,.507,.037
Stone,Arkansas,12359,609.42999,75,3011524,4616,.777,1180,.199,.024
Union,Arkansas,39054,1055.27,75,3011524,10478,.631,5584,.336,.033
Van Buren,Arkansas,15796,724.32001,75,3011524,6034,.773,1593,.204,.023
Washington,Arkansas,245871,951.71997,75,3011524,47504,.504,43824,.465,.031
White,Arkansas,76822,1042.36,75,3011524,24182,.783,5978,.194,.023
Woodruff,Arkansas,6269,594.04999,75,3011524,1543,.623,856,.346,.031
Yell,Arkansas,20263,948.84003,75,3011524,5226,.775,1284,.19,.035
Alameda,California,1682353,738,58,39538224,617659,.802,136309,.177,.021
Alpine,California,1204,739,58,39538224,476,.642,244,.329,.029
Amador,California,40474,606,58,39538224,8153,.366,13585,.609,.025
Butte,California,211632,1640,58,39538224,50426,.494,48730,.478,.028
Calaveras,California,45292,1020,58,39538224,10046,.37,16518,.608,.022
Colusa,California,21839,1151,58,39538224,3239,.407,4559,.573,.02
Contra Costa,California,1165927,720,58,39538224,416386,.716,152877,.263,.021
Del Norte,California,27743,1008,58,39538224,4677,.408,6461,.5639999999999999,.0280000000000001
El Dorado,California,191185,1712,58,39538224,51621,.444,61838,.532,.024
Fresno,California,1008654,5963,58,39538224,193025,.529,164464,.451,.02
Glenn,California,28917,1315,58,39538224,3995,.354,7063,.625,.021
Humboldt,California,136463,3573,58,39538224,44768,.65,21770,.316,.034
Imperial,California,179702,4175,58,39538224,34678,.611,20847,.368,.021
Inyo,California,19016,10192,58,39538224,4634,.489,4620,.487,.024
Kern,California,909235,8142,58,39538224,133366,.437,164484,.539,.0239999999999999
Kings,California,152486,1390,58,39538224,18699,.426,24072,.549,.025
Lake,California,68163,1258,58,39538224,14941,.519,13123,.456,.025
Lassen,California,32730,4558,58,39538224,2799,.234,8970,.748,.018
Los Angeles,California,10014009,4060,58,39538224,3028885,.71,1145530,.269,.021
Madera,California,156255,2138,58,39538224,23168,.431,29378,.547,.0219999999999999
Marin,California,262321,520,58,39538224,128288,.823,24612,.158,.019
Mariposa,California,17131,1451,58,39538224,4088,.398,5950,.579,.023
Mendocino,California,91601,3509,58,39538224,28782,.664,13267,.306,.03
Merced,California,281202,1929,58,39538224,48991,.541,39397,.435,.024
Modoc,California,8700,3944,58,39538224,1150,.265,3109,.717,.018
Mono,California,13195,3044,58,39538224,4013,.596,2513,.373,.031
Monterey,California,439035,3322,58,39538224,113953,.695,46299,.283,.0220000000000001
Napa,California,138019,754,58,39538224,49817,.6909999999999999,20676,.287,.0220000000000001
Nevada,California,102241,958,58,39538224,36359,.5620000000000001,26779,.414,.024
Orange,California,3186989,948,58,39538224,814009,.535,676498,.445,.02
Placer,California,404739,1407,58,39538224,106869,.455,122488,.521,.0239999999999999
Plumas,California,19790,2554,58,39538224,4561,.405,6445,.573,.022
Riverside,California,2418185,7208,58,39538224,528340,.53,449144,.45,.02
Sacramento,California,1585055,966,58,39538224,440808,.614,259405,.361,.025
San Benito,California,64209,1389,58,39538224,17628,.612,10590,.367,.021
San Bernardino,California,2181654,20062,58,39538224,455859,.542,366257,.436,.022
San Diego,California,3298634,4204,58,39538224,964650,.602,600094,.375,.023
San Francisco,California,873965,47,58,39538224,378156,.853,56417,.127,.02
San Joaquin,California,779233,1399,58,39538224,161137,.5590000000000001,121098,.42,.021
San Luis Obispo,California,282424,3304,58,39538224,88310,.553,67436,.422,.025
San Mateo,California,764442,449,58,39538224,291496,.779,75584,.202,.019
Santa Barbara,California,448229,2738,58,39538224,129963,.649,65736,.328,.023
Santa Clara,California,1936259,1291,58,39538224,617967,.727,214612,.252,.021
Santa Cruz,California,270861,446,58,39538224,114246,.789,26937,.186,.025
Shasta,California,182155,3786,58,39538224,30000,.323,60789,.654,.023
Sierra,California,3236,953,58,39538224,730,.378,1142,.592,.03
Siskiyou,California,44076,6287,58,39538224,9593,.409,13290,.5669999999999999,.024
Solano,California,453491,828,58,39538224,131639,.64,69306,.337,.023
Sonoma,California,488863,1576,58,39538224,199938,.745,61825,.23,.025
Stanislaus,California,552878,1495,58,39538224,105841,.493,104145,.485,.022
Sutter,California,99633,603,58,39538224,17367,.407,24375,.572,.021
Tehama,California,65829,2951,58,39538224,8911,.31,19141,.666,.0239999999999999
Trinity,California,16112,3179,58,39538224,2851,.456,3188,.509,.035
Tulare,California,473117,4824,58,39538224,66105,.45,77579,.528,.022
Tuolumne,California,55620,2236,58,39538224,11978,.394,17689,.582,.024
Ventura,California,843843,1846,58,39538224,251388,.595,162207,.384,.021
Yolo,California,216403,1012,58,39538224,67598,.695,27292,.281,.024
Yuba,California,81575,630,58,39538224,11230,.377,17676,.593,.03
Adams,Colorado,519572,1182.29,64,5773714,134202,.5669999999999999,95657,.404,.029
Alamosa,Colorado,16376,723.21002,64,5773714,3759,.481,3813,.488,.031
Arapahoe,Colorado,655070,804.40997,64,5773714,213607,.61,127323,.364,.026
Archuleta,Colorado,13359,1354.53,64,5773714,3738,.409,5189,.5669999999999999,.024
Baca,Colorado,3506,2558.48,64,5773714,317,.142,1867,.839,.019
Bent,Colorado,5650,1541.0699,64,5773714,732,.322,1503,.661,.0169999999999999
Boulder,Colorado,330758,740.47998,64,5773714,159089,.772,42501,.206,.022
Broomfield,Colorado,74112,33.57,64,5773714,29077,.624,16295,.349,.027
Chaffee,Colorado,19476,1014.12,64,5773714,7160,.522,6222,.454,.024
Cheyenne,Colorado,1748,1781.9,64,5773714,131,.115,993,.874,.011
Clear Creek,Colorado,9397,396.53,64,5773714,3604,.55,2754,.421,.029
Conejos,Colorado,7461,1290.22,64,5773714,1959,.452,2286,.528,.02
Costilla,Colorado,3499,1229.38,64,5773714,1311,.626,741,.354,.02
Crowley,Colorado,5922,800.27002,64,5773714,437,.25,1271,.726,.024
Custer,Colorado,4704,739.23999,64,5773714,1112,.306,2474,.681,.0129999999999999
Delta,Colorado,31196,1149.4399,64,5773714,5887,.304,13081,.675,.0209999999999999
Denver,Colorado,715522,155.66,64,5773714,313293,.796,71618,.182,.022
Dolores,Colorado,2326,1076.9301,64,5773714,341,.235,1089,.752,.013
Douglas,Colorado,357978,842.29999,64,5773714,104653,.452,121270,.524,.024
Eagle,Colorado,55731,1700.76,64,5773714,18588,.638,9892,.339,.023
El Paso,Colorado,730395,2128.6001,64,5773714,161941,.427,202828,.535,.0379999999999999
Elbert,Colorado,26062,1849.08,64,5773714,4490,.237,14027,.739,.024
