county,state,pop_county,area,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020,_merge
Wade Hampton Census Area,Alaska,,,,,,,,,,7,,Using only (2)
Valdez-Cordova Census Area,Alaska,,,,,,,,,,349,,Using only (2)
La Salle Parish,Louisiana,,,,,,,,,,331,,Using only (2)
Shannon,South Dakota,,,,,,,,,,298,,Using only (2)
Petersburg Census Area,Alaska,,,,,,,,,,130,,Using only (2)
Adair,Kentucky,18903,407,120,4505836,7276,.83,1392,.159,.011,319,643,Matched (3)
Taylor,Georgia,7816,378,159,10711908,1388,.361,2420,.63,.009,164,168,Matched (3)
Lyon,Iowa,11934,588,99,3190369,5707,.833,1067,.156,.011,212,407,Matched (3)
Pike,Ohio,27088,441.48999,88,11799448,9157,.738,3110,.251,.011,207,219,Matched (3)
Adams,Idaho,4379,1365,44,1839106,1941,.751,591,.229,.02,94,152,Matched (3)
Marshall,South Dakota,4306,1137,66,886667,1287,.591,858,.394,,317,255,Matched (3)
Lancaster,Nebraska,322608,839,93,1961504,70092,.449,82293,.527,.0239999999999999,16685,25844,Matched (3)
Winnebago,Wisconsin,171730,434.48999,72,5893718,44060,.47,47796,.51,.02,5784,8328,Matched (3)
Adams,Mississippi,29538,460,82,2961279,5696,.414,7917,.575,.0110000000000001,2150,1012,Matched (3)
Adams,Nebraska,31205,563,93,1961504,10085,.6909999999999999,4213,.289,.0200000000000001,2544,3659,Matched (3)
West Baton Rouge Parish,Louisiana,27199,203,64,4657757,7684,.545,6200,.44,.015,544,1244,Matched (3)
Hawkins,Tennessee,56721,487,95,6910840,20405,.822,4083,.164,.014,669,889,Matched (3)
Polk,Nebraska,5214,439,93,1961504,2291,.796,530,.184,.02,156,259,Matched (3)
Seward,Kansas,21964,640,105,2937880,3372,.637,1833,.346,.017,12990,14406,Matched (3)
Tehama,California,65829,2951,58,39538224,8911,.31,19141,.666,.0239999999999999,13906,17938,Matched (3)
Bullitt,Kentucky,82217,299,120,4505836,30708,.732,10552,.251,.017,1038,2117,Matched (3)
Young,Texas,17867,922,254,29145504,7110,.863,1034,.126,.011,3045,3508,Matched (3)
Murray,Oklahoma,13904,418,77,3959353,4612,.782,1156,.196,.022,662,926,Matched (3)
Benton,Mississippi,7646,407,82,2961279,2570,.599,1679,.391,.01,148,145,Matched (3)
Orange,California,3186989,948,58,39538224,814009,.535,676498,.445,.02,1012973,1086834,Matched (3)
Jackson,Oregon,223259,2785,36,4237256,59478,.47,63869,.505,.025,21745,30399,Matched (3)
Polk,Georgia,42853,311,159,10711908,3657,.21,13587,.781,.009,4885,5585,Matched (3)
Mercer,Missouri,3538,454,115,6154913,1541,.866,222,.125,.009,28,155,Matched (3)
Weakley,Tennessee,32902,580,95,6910840,10396,.757,3020,.22,.023,700,905,Matched (3)
Vermilion Parish,Louisiana,57359,1538,64,4657757,21930,.803,5009,.183,.014,1381,2296,Matched (3)
Buchanan,Iowa,20565,571,99,3190369,6420,.596,4169,.387,.017,243,338,Matched (3)
Twin Falls,Idaho,90046,1925,44,1839106,25897,.709,9391,.257,.034,10570,15210,Matched (3)
Aleutians East Borough,Alaska,3420,6985,30,733391,4652,.6031,2666,.3457,.0512,385,674,Matched (3)
Antelope,Nebraska,6295,857,93,1961504,3093,.863,452,.126,.011,178,221,Matched (3)
Jennings,Indiana,27613,377,92,6785528,9490,.775,2523,.206,.019,571,859,Matched (3)
Bracken,Kentucky,8400,203,120,4505836,3398,.801,800,.189,.01,96,90,Matched (3)
Wyoming,Pennsylvania,26069,406,67,13002700,4704,.317,9936,.669,.014,437,581,Matched (3)
Morris,Texas,11973,254,254,29145504,3872,.6929999999999999,1669,.299,.0080000000000001,1003,1182,Matched (3)
Surry,Virginia,6561,279,133,8631393,2397,.537,2025,.454,.009,86,149,Matched (3)
York,Pennsylvania,456438,910,67,13002700,88114,.369,146733,.615,.016,24397,39360,Matched (3)
Allegan,Michigan,120502,1833,83,10077331,24449,.364,41392,.617,.019,7454,9389,Matched (3)
Stevens,Kansas,5250,728,105,2937880,1760,.867,237,.117,.016,1866,2020,Matched (3)
Allegany,New York,46456,1034,62,20201248,6048,.292,14135,.6830000000000001,.0249999999999999,670,965,Matched (3)
LaSalle Parish,Louisiana,14791,663,64,4657757,6378,.901,638,.09,.009,,1402,Matched (3)
Grant,Kentucky,24941,260,120,4505836,8725,.786,2205,.199,.015,577,741,Matched (3)
McKinley,New Mexico,72902,5449,33,2117522,18029,.681,7801,.295,.024,9473,8611,Matched (3)
Allen,Indiana,385410,657,92,6785528,92083,.545,73189,.433,.022,23093,32923,Matched (3)
Berks,Pennsylvania,428849,866,67,13002700,92895,.452,109736,.534,.014,67355,99550,Matched (3)
Socorro,New Mexico,16595,6647,33,2117522,3722,.52,3255,.455,.025,8664,8353,Matched (3)
Allen,Ohio,102206,404.42999,88,11799448,33116,.6899999999999999,14149,.295,.0150000000000001,2513,3272,Matched (3)
LaMoure,North Dakota,4093,1147,53,779094,1645,.742,527,.238,.02,34,88,Matched (3)
McIntosh,North Dakota,2530,975,53,779094,1153,.798,261,.181,.021,38,53,Matched (3)
Henry,Georgia,240712,323,159,10711908,73443,.597,48259,.392,.011,11813,18437,Matched (3)
Essex,Massachusetts,809829,498,14,7029917,267198,.637,144837,.345,.018,122745,182847,Matched (3)
Pennington,South Dakota,109222,2776,66,886667,35063,.61,20606,.358,,4044,5575,Matched (3)
Marion,Arkansas,16826,640.39001,75,3011524,5783,.771,1531,.204,.025,287,379,Matched (3)
Beaufort,South Carolina,187117,576,46,5118425,53194,.544,43419,.444,.012,19567,23411,Matched (3)
Amite,Mississippi,12720,730,82,2961279,4503,.626,2620,.364,.01,110,129,Matched (3)
Anchorage Municipality,Alaska,291247,1707,30,733391,68169,.4697,70933,.4887,.0416,22061,26438,Matched (3)
Lane,Oregon,382971,4554,36,4237256,134366,.609,80336,.364,.027,26167,37780,Matched (3)
Greene,New York,47931,658,62,20201248,10346,.412,14271,.5679999999999999,.0200000000000001,2419,3109,Matched (3)
Madison Parish,Louisiana,10017,651,64,4657757,1930,.413,2654,.5679999999999999,.019,188,204,Matched (3)
Johnson,Indiana,161765,320,92,6785528,51219,.66,24736,.319,.021,4270,6394,Matched (3)
York,Maine,211972,1271,16,1362359,71189,.549,54817,.423,.028,2478,4097,Matched (3)
Lake,Minnesota,10905,2099.1599,87,5706494,3647,.508,3393,.472,.02,80,113,Matched (3)
Shelby,Tennessee,929744,755,95,6910840,129815,.34,246105,.644,.0159999999999999,52092,77707,Matched (3)
Sawyer,Wisconsin,18074,893.06,72,5893718,4498,.429,5909,.5629999999999999,.008,268,358,Matched (3)
Perry,Arkansas,10019,560.46997,75,3011524,3479,.752,1012,.219,.029,247,286,Matched (3)
Foster,North Dakota,3397,635,53,779094,1362,.77,373,.211,.019,29,66,Matched (3)
Marshall,Iowa,40105,572,99,3190369,9571,.529,8176,.452,.019,7017,9140,Matched (3)
Bay,Michigan,103856,631,83,10077331,26151,.434,33125,.55,.016,5093,5930,Matched (3)
Wayne,Pennsylvania,51155,751,67,13002700,9191,.327,18637,.663,.01,1816,2347,Matched (3)
Marion,Ohio,65359,403.84,88,11799448,19023,.6840000000000001,8269,.297,.019,1503,1956,Matched (3)
Madison,Alabama,388153,801.59003,67,5024279,102780,.53,87286,.45,.02,15404,24936,Matched (3)
Dona Ana,New Mexico,219561,3807,33,2117522,47957,.58,32802,.397,.023,137514,147672,Matched (3)
Washington,Tennessee,133001,326,95,6910840,40444,.672,18638,.31,.018,3633,6136,Matched (3)
Saline,Illinois,23768,868,102,12812508,2789,.252,8103,.732,.016,340,473,Matched (3)
Aransas,Texas,23830,252,254,29145504,9239,.752,2916,.237,.011,5690,6158,Matched (3)
Arapahoe,Colorado,655070,804.40997,64,5773714,213607,.61,127323,.364,.026,105522,135729,Matched (3)
Switzerland,Indiana,9737,221,92,6785528,3133,.755,964,.232,.013,147,114,Matched (3)
Glasscock,Texas,1116,901,254,29145504,611,.9360000000000001,39,.06,.0039999999999999,378,387,Matched (3)
Carbon,Utah,20412,1485,29,3271616,6693,.714,2392,.255,.031,2659,2677,Matched (3)
Arkansas,Arkansas,17149,1033.79,75,3011524,4304,.6840000000000001,1818,.289,.027,513,636,Matched (3)
Arlington,Virginia,238643,26,133,8631393,105344,.8129999999999999,22318,.172,.0150000000000001,31382,37362,Matched (3)
Stone,Missouri,31076,827,115,6154913,14800,.801,3506,.19,.009,553,782,Matched (3)
Armstrong,Texas,1848,914,254,29145504,1035,.931,75,.067,.0019999999999999,124,144,Matched (3)
Plumas,California,19790,2554,58,39538224,4561,.405,6445,.573,.022,1605,1897,Matched (3)
Arthur,Nebraska,434,715,93,1961504,260,.915,21,.074,.011,19,12,Matched (3)
Archuleta,Colorado,13359,1354.53,64,5773714,3738,.409,5189,.5669999999999999,.024,2148,2159,Matched (3)
Lafourche Parish,Louisiana,97557,1472,64,4657757,36024,.794,8672,.191,.015,3647,5672,Matched (3)
Blanco,Texas,11374,711,254,29145504,5443,.731,1911,.257,.012,1909,2092,Matched (3)
Coleman,Texas,7684,1273,254,29145504,3641,.883,451,.109,.008,1419,1192,Matched (3)
Broomfield,Colorado,74112,33.57,64,5773714,29077,.624,16295,.349,.027,6216,9919,Matched (3)
Cameron,Pennsylvania,4547,399,67,13002700,634,.26,1771,.728,.012,19,86,Matched (3)
La Paz,Arizona,16557,4513,15,7151502,2236,.3,5129,.6879999999999999,.012,4806,4197,Matched (3)
Stewart,Georgia,5314,459,159,10711908,1182,.594,801,.403,.003,1454,1217,Matched (3)
Starr,Texas,65920,1223,254,29145504,8247,.471,9123,.521,.008,58337,64393,Matched (3)
Hillsdale,Michigan,45746,607,83,10077331,5883,.253,17037,.732,.015,826,1172,Matched (3)
Atchison,Missouri,5305,545,115,6154913,2199,.781,564,.2,.019,55,73,Matched (3)
Randolph,Missouri,24716,482,115,6154913,8018,.746,2485,.231,.023,413,572,Matched (3)
Marion,Kentucky,19581,347,120,4505836,6113,.6850000000000001,2722,.305,.01,482,681,Matched (3)
Cedar,Iowa,18505,580,99,3190369,6161,.577,4337,.406,.017,284,462,Matched (3)
Paulding,Ohio,18806,416.26001,88,11799448,7086,.749,2213,.234,.017,838,1010,Matched (3)
Williamson,Texas,609017,1124,254,29145504,139729,.483,143795,.497,.02,98034,147088,Matched (3)
Essex,New York,37381,1916,62,20201248,9947,.516,8976,.466,.018,993,978,Matched (3)
Upshur,Texas,40892,588,254,29145504,15809,.837,2877,.152,.011,2613,3986,Matched (3)
Lac qui Parle,Minnesota,6719,764.87,87,5706494,1446,.359,2528,.627,.014,108,202,Matched (3)
Bamberg,South Carolina,13311,395,46,5118425,2417,.373,4010,.619,.008,258,141,Matched (3)
Harding,South Dakota,1311,2671,66,886667,748,.92,49,.06,,20,32,Matched (3)
Austin,Texas,30167,653,254,29145504,11447,.787,2951,.203,.01,6641,8052,Matched (3)
Autauga,Alabama,58805,594.44,67,5024279,19838,.716,7503,.271,.013,1310,2117,Matched (3)
Chaffee,Colorado,19476,1014.12,64,5773714,7160,.522,6222,.454,.024,1678,1841,Matched (3)
Ward,Texas,11644,836,254,29145504,3241,.798,764,.188,.014,5074,6325,Matched (3)
Plymouth,Massachusetts,530819,661,14,7029917,173630,.578,121227,.403,.019,15619,23952,Matched (3)
Park,Montana,17191,2656,56,1084225,6025,.521,5280,.457,.022,325,510,Matched (3)
Cattaraugus,New York,77042,1310,62,20201248,11879,.342,22155,.638,.0199999999999999,1345,1615,Matched (3)
Bossier Parish,Louisiana,128746,867,64,4657757,38074,.697,15662,.287,.0160000000000001,7026,10237,Matched (3)
Powder River,Montana,1694,3297,56,1084225,970,.854,154,.136,.01,24,35,Matched (3)
Linn,Kansas,9591,599,105,2937880,4048,.802,896,.178,.02,186,238,Matched (3)
Montgomery,Virginia,99721,388,133,8631393,23218,.518,20629,.461,.021,2536,4651,Matched (3)
Williams,North Dakota,40950,2071,53,779094,11739,.823,2169,.152,.025,436,3897,Matched (3)
Caledonia,Vermont,30233,576,14,643077,9011,.5600000000000001,6551,.407,.033,331,605,Matched (3)
Waynesboro,Virginia,22196,14,133,8631393,4961,.465,5507,.516,.0189999999999999,1337,1945,Matched (3)
Kent,Texas,753,902,254,29145504,411,.89,47,.102,.008,120,81,Matched (3)
Davie,North Carolina,42712,267,100,10439388,18228,.722,6713,.266,.012,2496,3375,Matched (3)
San Juan,Washington,17788,174,39,7705281,9725,.743,3057,.234,.023,857,1298,Matched (3)
Miller,Missouri,24722,592,115,6154913,10176,.822,2038,.165,.013,343,466,Matched (3)
Union,Pennsylvania,42681,317,67,13002700,7475,.372,12356,.614,.014,2346,2000,Matched (3)
Bannock,Idaho,87018,1113,44,1839106,23331,.59,14682,.371,.039,5587,7993,Matched (3)
Jones,Texas,19663,931,254,29145504,5660,.84,999,.148,.012,5009,5504,Matched (3)
Oregon,Missouri,8635,792,115,6154913,3847,.8120000000000001,823,.174,.014,131,117,Matched (3)
Blair,Pennsylvania,122822,527,67,13002700,17636,.277,45306,.712,.011,1230,1708,Matched (3)
Hennepin,Minnesota,1281565,556.62,87,5706494,532623,.707,205973,.273,.02,77676,98250,Matched (3)
Caroline,Maryland,33293,345,24,6177224,5095,.324,10283,.654,.0219999999999999,1816,2820,Matched (3)
Salem,New Jersey,64837,338,21,9288994,14479,.427,18827,.555,.0179999999999999,4507,6535,Matched (3)
Burlington,New Jersey,461860,805,21,9288994,154595,.591,103345,.395,.014,28831,40387,Matched (3)
Coffee,Alabama,53465,678.96997,67,5024279,16899,.76,5076,.228,.012,3180,4887,Matched (3)
Barron,Wisconsin,46711,862.71002,72,5893718,9194,.363,15803,.624,.013,862,1277,Matched (3)
Barrow,Georgia,83505,162,159,10711908,10453,.276,26804,.707,.017,6037,10560,Matched (3)
Bennett,South Dakota,3381,1185,66,886667,694,.587,466,.394,,67,87,Matched (3)
Warren,Virginia,40727,214,133,8631393,6603,.314,14069,.669,.0169999999999999,1318,2413,Matched (3)
Holt,Nebraska,10127,2413,93,1961504,4769,.861,686,.124,.015,305,521,Matched (3)
Martin,Minnesota,20025,709.34003,87,5706494,3305,.301,7480,.681,.018,744,1320,Matched (3)
Daggett,Utah,935,721,29,3271616,496,.801,111,.179,.02,33,29,Matched (3)
Bartow,Georgia,108901,460,159,10711908,12091,.24,37672,.747,.013,7690,10751,Matched (3)
Newton,Mississippi,21291,578,82,2961279,6997,.6870000000000001,3075,.302,.011,287,329,Matched (3)
Transylvania,North Carolina,32986,381,100,10439388,11636,.572,8444,.415,.0130000000000001,964,1698,Matched (3)
Burke,North Dakota,2201,1104,53,779094,994,.864,137,.119,.017,37,59,Matched (3)
White Pine,Nevada,9080,8877,17,3104614,859,.197,3403,.779,.0239999999999999,1326,1457,Matched (3)
Baxter,Arkansas,41627,586.73999,75,3011524,15836,.754,4635,.221,.025,688,1058,Matched (3)
Covington,Virginia,5737,4,133,8631393,964,.372,1580,.609,.019,92,179,Matched (3)
Angelina,Texas,86395,802,254,29145504,25076,.725,9143,.264,.011,17145,19732,Matched (3)
Bayfield,Wisconsin,16220,1477.86,72,5893718,6147,.5659999999999999,4617,.425,.0090000000000001,158,279,Matched (3)
Jasper,Texas,32980,938,254,29145504,12542,.804,2954,.189,.007,2017,2198,Matched (3)
Chickasaw,Mississippi,17106,502,82,2961279,4175,.513,3810,.468,.019,643,642,Matched (3)
Bear Lake,Idaho,6372,971,44,1839106,2914,.879,350,.106,.015,216,208,Matched (3)
LaGrange,Indiana,40446,380,92,6785528,8110,.763,2355,.221,.016,1317,1733,Matched (3)
Tangipahoa Parish,Louisiana,133157,823,64,4657757,37806,.656,18887,.328,.016,4260,7242,Matched (3)
Harrisonburg,Virginia,51814,18,133,8631393,11022,.649,5591,.329,.022,7665,12045,Matched (3)
Montgomery,Tennessee,220069,539,95,6910840,42187,.55,32472,.423,.027,13752,22934,Matched (3)
Beaver,Pennsylvania,168215,444,67,13002700,38122,.405,54759,.582,.013,1998,3611,Matched (3)
Beaver,Utah,7072,2592,29,3271616,2695,.869,357,.115,.016,716,1066,Matched (3)
Camden,New Jersey,523485,222,21,9288994,175065,.662,86207,.326,.012,73124,95255,Matched (3)
Becker,Minnesota,35183,1310.42,87,5706494,6589,.34,12438,.643,.0169999999999999,398,575,Matched (3)
Warren,Missouri,35532,834,115,6154913,13222,.72,4769,.26,.02,957,1400,Matched (3)
Holmes,Florida,19653,482,67,21538088,8080,.891,924,.102,.007,444,688,Matched (3)
Pulaski,Illinois,5193,199,102,12812508,891,.34,1699,.647,.0129999999999999,97,204,Matched (3)
Fayette,Alabama,16321,627.65997,67,5024279,7300,.834,1395,.159,.007,204,396,Matched (3)
Bee,Texas,31047,880,254,29145504,6006,.638,3288,.349,.013,17906,19392,Matched (3)
Clay,Alabama,14236,603.96002,67,5024279,5601,.8090000000000001,1267,.183,.008,399,449,Matched (3)
Morris,Kansas,5386,697,105,2937880,2124,.733,729,.251,.016,212,227,Matched (3)
Nemaha,Nebraska,7074,409,93,1961504,2428,.709,921,.269,.022,133,208,Matched (3)
Los Alamos,New Mexico,19419,109,33,2117522,7554,.614,4278,.348,.038,2646,3435,Matched (3)
White,Indiana,24688,505,92,6785528,7957,.713,3032,.272,.015,1746,2453,Matched (3)
Yankton,South Dakota,23310,522,66,886667,6581,.604,4016,.368,,614,1234,Matched (3)
Grainger,Tennessee,23527,280,95,6910840,8565,.845,1467,.145,.01,530,773,Matched (3)
Iowa,Iowa,16662,586,99,3190369,6009,.618,3547,.365,.017,307,495,Matched (3)
Hamilton,Iowa,15039,577,99,3190369,4956,.626,2843,.359,.015,782,1465,Matched (3)
Scott,Minnesota,150928,356.67999,87,5706494,40040,.456,45872,.523,.021,5771,9008,Matched (3)
Llano,Texas,21243,935,254,29145504,10079,.796,2465,.195,.009,1542,2508,Matched (3)
Sargent,North Dakota,3862,859,53,779094,1266,.613,738,.357,.03,51,91,Matched (3)
Catron,New Mexico,3579,6928,33,2117522,595,.256,1698,.73,.014,709,602,Matched (3)
Otero,New Mexico,67839,6627,33,2117522,8485,.36,14521,.616,.024,22026,26152,Matched (3)
Miami,Kansas,34191,577,105,2937880,12308,.6860000000000001,5247,.293,.021,828,1196,Matched (3)
Alachua,Florida,278468,874,67,21538088,50972,.357,89704,.629,.014,20752,33614,Matched (3)
Cherokee,Iowa,11658,577,99,3190369,4495,.6909999999999999,1936,.298,.0110000000000001,274,530,Matched (3)
Waldo,Maine,39607,853,16,1362359,12345,.508,11196,.46,.032,349,559,Matched (3)
Washington,Colorado,4817,2522.8999,64,5773714,369,.123,2595,.863,.014,407,516,Matched (3)
Converse,Wyoming,13751,4255,23,576851,5917,.852,861,.124,.024,867,1062,Matched (3)
Benzie,Michigan,17970,860,83,10077331,5480,.447,6601,.538,.0149999999999999,302,391,Matched (3)
Upton,Texas,3308,1242,254,29145504,1178,.861,170,.124,.015,1644,1797,Matched (3)
Prince William,Virginia,482204,338,133,8631393,142863,.628,81222,.357,.015,81460,121524,Matched (3)
Iredell,North Carolina,186693,597,100,10439388,67010,.656,33888,.332,.012,10844,15777,Matched (3)
Marquette,Michigan,66017,3425,83,10077331,20465,.546,16286,.435,.019,767,1344,Matched (3)
Hancock,Tennessee,6662,222,95,6910840,2372,.864,362,.132,.004,13,40,Matched (3)
Wood,Ohio,132248,617.32001,88,11799448,35757,.529,30617,.453,.018,5663,8280,Matched (3)
Greene,Pennsylvania,35954,578,67,13002700,4911,.278,12579,.712,.01,465,510,Matched (3)
Natrona,Wyoming,79955,5340,23,576851,25271,.722,8530,.244,.034,5231,7169,Matched (3)
Tulare,California,473117,4824,58,39538224,66105,.45,77579,.528,.022,268065,309895,Matched (3)
Bethel Census Area,Alaska,18666,40627,30,733391,1670,.327,3085,.6041,.0689,181,207,Matched (3)
Iron,Utah,57289,3301,29,3271616,18989,.763,4892,.197,.04,3563,5482,Matched (3)
Bibb,Alabama,22293,622.58002,67,5024279,7525,.785,1986,.207,.008,406,740,Matched (3)
Gregg,Texas,124239,274,254,29145504,32493,.678,14796,.309,.013,20018,24040,Matched (3)
Leelanau,Michigan,22301,2532,83,10077331,8795,.52,7916,.468,.012,794,917,Matched (3)
Scott,Iowa,174669,458,99,3190369,43683,.473,46926,.508,.019,9197,12092,Matched (3)
Nueces,Texas,353178,836,254,29145504,64617,.508,60925,.479,.013,206293,217052,Matched (3)
Broward,Florida,1944375,1209,67,21538088,333409,.348,618752,.646,.006,438247,608703,Matched (3)
San Francisco,California,873965,47,58,39538224,378156,.853,56417,.127,.02,121774,136761,Matched (3)
Bingham,Idaho,47992,2095,44,1839106,15295,.765,4124,.206,.029,7864,8331,Matched (3)
Cedar,Nebraska,8380,740,93,1961504,4174,.835,725,.145,.02,113,186,Matched (3)
Blackford,Indiana,12112,165,92,6785528,3841,.718,1376,.257,.025,117,252,Matched (3)
Crawford,Iowa,16525,714,99,3190369,4854,.679,2220,.311,.01,4131,4912,Matched (3)
Sumner,Kansas,22382,1182,105,2937880,8105,.742,2591,.237,.021,1097,1254,Matched (3)
Blaine,Oklahoma,8735,929,77,3959353,3136,.804,688,.176,.02,2873,985,Matched (3)
Johnson,Kansas,609863,477,105,2937880,155631,.448,184259,.531,.021,38949,54389,Matched (3)
Barnes,North Dakota,10853,1492,53,779094,3568,.643,1820,.328,.029,123,185,Matched (3)
Murray,Minnesota,8179,704.42999,87,5706494,1449,.297,3363,.6889999999999999,.0140000000000001,242,382,Matched (3)
Fluvanna,Virginia,27249,287,133,8631393,7414,.469,8155,.516,.015,760,1107,Matched (3)
Lee,Iowa,33555,517,99,3190369,9773,.585,6541,.392,.023,1092,1110,Matched (3)
Bleckley,Georgia,12583,217,159,10711908,1312,.23,4329,.758,.012,301,469,Matched (3)
Bledsoe,Tennessee,14913,406,95,6910840,4725,.821,971,.169,.01,255,459,Matched (3)
Pittsylvania,Virginia,60501,978,133,8631393,10115,.296,23751,.695,.009,1332,1712,Matched (3)
Pocahontas,Iowa,7078,578,99,3190369,2826,.74,933,.244,.016,166,354,Matched (3)
Cassia,Idaho,24655,2567,44,1839106,7907,.821,1464,.152,.0270000000000001,5724,7186,Matched (3)
Franklin,Missouri,104682,922,115,6154913,38058,.709,14569,.271,.02,1397,2205,Matched (3)
Holmes,Ohio,44223,422.98999,88,11799448,10796,.834,1994,.154,.012,329,474,Matched (3)
Macon,Tennessee,25216,500,95,6910840,8096,.853,1307,.138,.009,919,1684,Matched (3)
Saline,Nebraska,14292,575,93,1961504,3631,.629,1986,.344,.027,2870,4067,Matched (3)
Colbert,Alabama,57227,592.62,67,5024279,19203,.6899999999999999,8343,.3,.0100000000000001,1093,1732,Matched (3)
Ellis,Oklahoma,3749,1229,77,3959353,1688,.901,162,.086,.013,251,340,Matched (3)
Wright,Missouri,18188,266,115,6154913,7453,.853,1168,.134,.013,238,370,Matched (3)
Macon,Alabama,19532,608.89001,67,5024279,1541,.177,7108,.8169999999999999,.006,232,361,Matched (3)
New York,New York,1694251,33.77,62,20201248,603040,.868,85185,.123,.009,403577,402640,Matched (3)
Musselshell,Montana,4730,1867,56,1084225,2423,.841,413,.143,.016,118,146,Matched (3)
Grundy,Missouri,9808,436,115,6154913,3585,.8080000000000001,799,.18,.012,178,241,Matched (3)
Dubois,Indiana,43637,427,92,6785528,15033,.6909999999999999,6292,.289,.0200000000000001,2521,4146,Matched (3)
Beaver,Oklahoma,5049,1814,77,3959353,1968,.904,190,.087,.009,1135,1304,Matched (3)
Summers,West Virginia,11959,361,55,1793716,4074,.729,1448,.259,.012,189,185,Matched (3)
Boone,West Virginia,21809,503,55,1793716,6816,.756,2041,.226,.018,97,133,Matched (3)
Brown,Minnesota,25912,610.85999,87,5706494,4753,.326,9552,.654,.0199999999999999,860,1171,Matched (3)
Morton,Kansas,2701,730,105,2937880,1034,.863,150,.125,.012,623,591,Matched (3)
Gooding,Idaho,15598,731,44,1839106,4659,.77,1256,.208,.022,4344,4847,Matched (3)
DeKalb,Alabama,71608,777.09003,67,5024279,24767,.845,4281,.146,.009,9690,11744,Matched (3)
Bell,Kentucky,24097,361,120,4505836,8140,.8100000000000001,1789,.178,.012,198,244,Matched (3)
Watauga,North Carolina,54086,313,100,10439388,14451,.45,17122,.533,.017,1713,3521,Matched (3)
Hunterdon,New Jersey,128947,430,21,9288994,39457,.468,43153,.512,.02,6722,10929,Matched (3)
Monroe,New York,759443,1366,62,20201248,225746,.595,145661,.384,.021,54005,72745,Matched (3)
Bourbon,Kentucky,20252,291,120,4505836,6190,.642,3296,.342,.016,1368,1486,Matched (3)
Catahoula Parish,Louisiana,8906,739,64,4657757,3541,.729,1269,.261,.01,90,614,Matched (3)
Worcester,Maryland,52460,400,24,6177224,12560,.398,18571,.588,.014,1622,2078,Matched (3)
Douglas,Nebraska,584526,331,93,1961504,119159,.433,150350,.547,.0199999999999999,57804,80820,Matched (3)
Pontotoc,Oklahoma,38065,720,77,3959353,10805,.705,4117,.269,.026,1523,2208,Matched (3)
Boyd,Kentucky,48261,160,120,4505836,14295,.658,7083,.326,.016,714,714,Matched (3)
Ida,Iowa,7005,432,99,3190369,2880,.749,917,.239,.012,100,255,Matched (3)
Brunswick,Virginia,15849,566,133,8631393,4552,.573,3357,.423,.0040000000000001,298,387,Matched (3)
Juneau,Wisconsin,26718,766.92999,72,5893718,4746,.347,8749,.639,.014,687,727,Matched (3)
Wood,Wisconsin,74207,793.12,72,5893718,16365,.397,24308,.59,.013,1680,2376,Matched (3)
Washita,Oklahoma,10924,1004,77,3959353,4086,.855,598,.125,.02,944,980,Matched (3)
Carter,Montana,1415,3340,56,1084225,775,.897,74,.086,.017,8,11,Matched (3)
Harrison,Texas,68839,899,254,29145504,21466,.723,7908,.266,.011,7254,9839,Matched (3)
Stevens,Minnesota,9671,562.06,87,5706494,1922,.379,3044,.601,.02,337,986,Matched (3)
Colquitt,Georgia,45898,552,159,10711908,4190,.26,11777,.732,.008,7763,8709,Matched (3)
Braxton,West Virginia,12447,514,55,1793716,4120,.727,1457,.257,.016,67,85,Matched (3)
Hamblen,Tennessee,64499,161,95,6910840,18811,.764,5500,.223,.013,6711,9483,Matched (3)
Dent,Missouri,14421,754,115,6154913,5987,.838,1056,.148,.014,148,271,Matched (3)
Calhoun,Michigan,134310,718,83,10077331,28877,.436,36221,.547,.017,6177,7426,Matched (3)
Dare,North Carolina,36915,1562,100,10439388,13938,.577,9936,.411,.0120000000000001,2210,2554,Matched (3)
Marin,California,262321,520,58,39538224,128288,.823,24612,.158,.019,39069,49410,Matched (3)
Orange,Virginia,36254,342,133,8631393,7995,.386,12426,.601,.013,1139,2171,Matched (3)
Kingsbury,South Dakota,5187,838,66,886667,1904,.6850000000000001,819,.295,,72,119,Matched (3)
Yuma,Colorado,9988,2369.6101,64,5773714,785,.158,4107,.825,.017,2088,2771,Matched (3)
Bradford,Florida,28203,293,67,21538088,10334,.758,3160,.232,.01,1020,1350,Matched (3)
Ransom,North Dakota,5703,863,53,779094,1418,.579,945,.386,.035,66,129,Matched (3)
Portage,Wisconsin,70377,800.67999,72,5893718,20428,.504,19299,.477,.019,1853,2620,Matched (3)
Harrison,Indiana,39654,485,92,6785528,14565,.72,5343,.264,.016,581,928,Matched (3)
Richland,South Carolina,416147,772,46,5118425,58313,.301,132570,.6840000000000001,.015,18637,26095,Matched (3)
Cleveland,Oklahoma,295528,536,77,3959353,66677,.5570000000000001,49827,.416,.027,17892,30312,Matched (3)
Polk,Oregon,87433,741,36,4237256,22917,.478,23732,.495,.027,9088,12730,Matched (3)
Bond,Illinois,16725,380,102,12812508,2288,.281,5625,.6909999999999999,.028,547,604,Matched (3)
Clinton,Missouri,21184,419,115,6154913,7799,.716,2896,.266,.018,322,502,Matched (3)
