county,state,pop_county,area,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020,_merge
Luce,Michigan,5339,1912,83,10077331,842,.281,2109,.703,.016,82,74,Matched (3)
Quitman,Georgia,2235,152,159,10711908,497,.449,604,.546,.0049999999999999,34,31,Matched (3)
Glascock,Georgia,2884,144,159,10711908,155,.099,1402,.896,.005,33,52,Matched (3)
Hamilton,Indiana,347467,394,92,6785528,101587,.524,88390,.456,.02,9426,18106,Matched (3)
Randolph,Illinois,30163,575,102,12812508,3592,.241,11076,.744,.015,867,1031,Matched (3)
Gloucester,New Jersey,302294,325,21,9288994,86702,.502,83340,.483,.015,13712,22135,Matched (3)
Grant,Wisconsin,51938,1146.85,72,5893718,10998,.43,14142,.553,.017,649,1236,Matched (3)
Glynn,Georgia,84499,422,159,10711908,15882,.378,25617,.61,.012,5126,6336,Matched (3)
Lee,Florida,760822,804,67,21538088,233247,.592,157695,.4,.008,113308,173161,Matched (3)
Worth,Missouri,1973,593,115,6154913,877,.792,215,.194,.014,23,25,Matched (3)
Herkimer,New York,60139,1458,62,20201248,9937,.339,18870,.644,.017,1040,1530,Matched (3)
Northwest Arctic Borough,Alaska,7793,35663,30,733391,735,.3858,1031,.5412,.073,58,102,Matched (3)
Cherokee,South Carolina,56216,397,46,5118425,18043,.714,6983,.276,.01,2032,2777,Matched (3)
Adams,Iowa,3704,424,99,3190369,1530,.71,590,.274,.016,37,42,Matched (3)
Cedar,Missouri,14188,476,115,6154913,5788,.822,1145,.163,.015,204,261,Matched (3)
Aurora,South Dakota,2747,708,66,886667,1052,.749,317,.226,,101,219,Matched (3)
Hitchcock,Nebraska,2616,710,93,1961504,1264,.86,175,.119,.021,42,87,Matched (3)
Carlton,Minnesota,36207,860.33002,87,5706494,10098,.497,9791,.482,.021,484,612,Matched (3)
Sumner,Tennessee,196281,529,95,6910840,63454,.6850000000000001,27680,.299,.016,6308,12870,Matched (3)
Edwards,Illinois,6245,222,102,12812508,488,.145,2833,.842,.013,59,63,Matched (3)
Washington Parish,Louisiana,45463,676,64,4657757,13307,.6820000000000001,5970,.306,.012,887,1410,Matched (3)
