county,state,pop_county,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020
Dubuque,Iowa,99266,99,3190369,27214,.506,25657,.477,.017,1807,2977
Wright,Iowa,12943,99,3190369,4136,.663,1996,.32,.017,1274,2394
Jasper,Iowa,37813,99,3190369,12084,.6,7737,.384,.016,537,1087
Mills,Iowa,14484,99,3190369,5585,.678,2508,.304,.018,359,461
Decatur,Iowa,7645,99,3190369,2615,.6879999999999999,1120,.295,.0170000000000001,181,211
Clarke,Iowa,9748,99,3190369,3144,.675,1466,.315,.01,927,1534
Appanoose,Iowa,12317,99,3190369,4512,.694,1891,.291,.0150000000000001,181,231
Greene,Iowa,8771,99,3190369,3223,.638,1769,.35,.012,171,256
Marshall,Iowa,40105,99,3190369,9571,.529,8176,.452,.019,7017,9140
Monroe,Iowa,7577,99,3190369,2975,.728,1078,.264,.008,169,117
Butler,Iowa,14334,99,3190369,5542,.6860000000000001,2424,.3,.014,133,183
Warren,Iowa,52403,99,3190369,17782,.574,12574,.406,.02,899,1658
Buena Vista,Iowa,20823,99,3190369,5056,.62,2961,.363,.017,4608,5925
Iowa,Iowa,16662,99,3190369,6009,.618,3547,.365,.017,307,495
Carroll,Iowa,20760,99,3190369,7737,.6840000000000001,3454,.306,.01,333,594
Keokuk,Iowa,10033,99,3190369,3797,.718,1414,.267,.015,90,215
Monona,Iowa,8751,99,3190369,3248,.6889999999999999,1407,.298,.0130000000000001,107,236
Calhoun,Iowa,9927,99,3190369,3689,.703,1470,.28,.017,90,236
Benton,Iowa,25575,99,3190369,9188,.628,5160,.353,.019,275,462
Linn,Iowa,230299,99,3190369,53364,.42,70874,.5580000000000001,.022,5534,8911
Cass,Iowa,13127,99,3190369,4969,.6840000000000001,2201,.303,.013,253,306
Woodbury,Iowa,105941,99,3190369,25736,.57,18704,.414,.0160000000000001,13993,18746
Audubon,Iowa,5674,99,3190369,2295,.672,1071,.314,.014,37,86
Clinton,Iowa,46460,99,3190369,13361,.542,10812,.439,.019,1243,1539
Des Moines,Iowa,38910,99,3190369,10592,.532,8893,.447,.021,1042,1245
Cherokee,Iowa,11658,99,3190369,4495,.6909999999999999,1936,.298,.0110000000000001,274,530
Fremont,Iowa,6605,99,3190369,2711,.704,1080,.28,.016,187,190
Sioux,Iowa,35872,99,3190369,15680,.827,3019,.159,.014,3001,4914
Washington,Utah,180279,29,3271616,67294,.744,20530,.227,.029,13486,20482
Rich,Utah,2510,29,3271616,1157,.849,180,.132,.019,96,97
Grand,Utah,9669,29,3271616,2248,.434,2806,.541,.025,881,1226
Box Elder,Utah,57666,29,3271616,21548,.797,4473,.166,.0369999999999999,4152,5537
Juab,Utah,11786,29,3271616,5087,.867,645,.11,.023,379,574
Salt Lake,Utah,1185238,29,3271616,230174,.425,289906,.536,.0389999999999999,176015,232088
Kane,Utah,7667,29,3271616,2998,.717,1083,.259,.024,263,322
Sevier,Utah,21522,29,3271616,9052,.874,1084,.105,.021,932,1053
Summit,Utah,42357,29,3271616,10252,.393,15244,.584,.023,4190,4737
Sanpete,Utah,28437,29,3271616,10459,.828,1794,.142,.0300000000000001,2619,3043
Wasatch,Utah,34788,29,3271616,10795,.614,6187,.352,.034,3184,5046
San Juan,Utah,14518,29,3271616,3535,.514,3113,.453,.033,649,747
Garfield,Utah,5083,29,3271616,2158,.79,514,.188,.022,234,384
Weber,Utah,262223,29,3271616,65949,.592,40695,.365,.043,38711,48742
Wayne,Utah,2486,29,3271616,1229,.758,365,.225,.017,116,96
Duchesne,Utah,19596,29,3271616,7513,.881,843,.099,.02,1117,1285
Beaver,Utah,7072,29,3271616,2695,.869,357,.115,.016,716,1066
Tooele,Utah,72698,29,3271616,21014,.667,8943,.284,.049,6661,9522
Carbon,Utah,20412,29,3271616,6693,.714,2392,.255,.031,2659,2677
Utah,Utah,659399,29,3271616,192812,.678,76033,.267,.0549999999999999,55793,88531
Emery,Utah,9825,29,3271616,4207,.865,572,.118,.017,654,705
Daggett,Utah,935,29,3271616,496,.801,111,.179,.02,33,29
Morgan,Utah,12295,29,3271616,5181,.796,1086,.167,.0369999999999999,226,338
Uintah,Utah,35620,29,3271616,13261,.867,1663,.109,.024,2330,2834
Cache,Utah,133154,29,3271616,38032,.661,16650,.289,.05,11216,15076
Davis,Utah,362679,29,3271616,104135,.613,57411,.338,.049,25753,39295
Iron,Utah,57289,29,3271616,18989,.763,4892,.197,.04,3563,5482
Piute,Utah,1438,29,3271616,773,.887,86,.099,.014,109,124
Millard,Utah,12975,29,3271616,5404,.877,624,.101,.022,1603,1774
Fairfield,Connecticut,959768,8,3605597,169039,.3574,297505,.629,.0136,155025,205351
Love,Oklahoma,10146,77,3959353,3305,.8110000000000001,711,.174,.015,1113,1685
Tillman,Oklahoma,6968,77,3959353,2076,.767,597,.22,.013,1783,1923
Choctaw,Oklahoma,14204,77,3959353,4698,.806,1082,.186,.008,427,595
Harper,Oklahoma,3272,77,3959353,1327,.892,136,.091,.017,645,733
Pittsburg,Oklahoma,43773,77,3959353,13851,.773,3768,.21,.017,1786,2266
Jackson,Oklahoma,24785,77,3959353,6392,.778,1646,.2,.022,5538,5937
Comanche,Oklahoma,121125,77,3959353,20905,.587,13747,.386,.027,13896,16645
McIntosh,Oklahoma,18941,77,3959353,6172,.74,2031,.244,.016,390,491
Kiowa,Oklahoma,8509,77,3959353,2673,.78,699,.204,.016,832,953
Cotton,Oklahoma,5527,77,3959353,2117,.823,393,.153,.024,344,361
Woodward,Oklahoma,20470,77,3959353,6611,.849,1005,.129,.022,2128,3006
Woods,Oklahoma,8624,77,3959353,2993,.8139999999999999,591,.161,.025,424,613
Ellis,Oklahoma,3749,77,3959353,1688,.901,162,.086,.013,251,340
Adair,Oklahoma,19495,77,3959353,5585,.786,1387,.195,.019,1197,1252
Tulsa,Oklahoma,669279,77,3959353,150574,.5649999999999999,108996,.409,.0260000000000001,66582,100049
Pontotoc,Oklahoma,38065,77,3959353,10805,.705,4117,.269,.026,1523,2208
Garfield,Oklahoma,62846,77,3959353,16970,.757,4919,.219,.024,5353,8982
Harmon,Oklahoma,2488,77,3959353,747,.801,177,.19,.009,756,740
Ottawa,Oklahoma,30285,77,3959353,8545,.747,2686,.235,.018,1499,1708
Alfalfa,Oklahoma,5699,77,3959353,1978,.874,232,.103,.023,224,279
Atoka,Oklahoma,14143,77,3959353,4557,.846,765,.142,.012,409,548
Pawnee,Oklahoma,15553,77,3959353,5267,.776,1363,.201,.023,336,467
Blaine,Oklahoma,8735,77,3959353,3136,.804,688,.176,.02,2873,985
McClain,Oklahoma,41662,77,3959353,15295,.795,3582,.186,.019,2400,3699
Pushmataha,Oklahoma,10812,77,3959353,4016,.847,668,.141,.012,280,376
Creek,Oklahoma,71754,77,3959353,23294,.764,6577,.216,.02,2152,3412
Latimer,Oklahoma,9444,77,3959353,3437,.8090000000000001,762,.179,.012,293,344
Jefferson,Oklahoma,5337,77,3959353,2026,.849,319,.134,.017,552,584
Stephens,Oklahoma,42848,77,3959353,15560,.8159999999999999,3154,.166,.018,2790,3452
Washita,Oklahoma,10924,77,3959353,4086,.855,598,.125,.02,944,980
Carter,Oklahoma,48003,77,3959353,14699,.755,4470,.229,.016,2528,3622
Seminole,Oklahoma,23556,77,3959353,6011,.721,2150,.258,.021,903,1176
Cimarron,Oklahoma,2296,77,3959353,970,.92,70,.066,.014,514,563
Le Flore,Oklahoma,48129,77,3959353,15213,.8090000000000001,3299,.175,.016,3454,3573
Major,Oklahoma,7782,77,3959353,3084,.89,320,.092,.018,565,784
Marshall,Oklahoma,15312,77,3959353,4891,.8070000000000001,1100,.181,.012,2212,2605
Delaware,Oklahoma,40397,77,3959353,13557,.786,3472,.201,.013,1248,1621
Rogers,Oklahoma,95240,77,3959353,34031,.764,9589,.215,.021,3229,5257
Texas,Oklahoma,21384,77,3959353,4505,.8159999999999999,894,.162,.022,8659,10823
Roger Mills,Oklahoma,3442,77,3959353,1629,.888,168,.092,.02,165,256
Coal,Oklahoma,5266,77,3959353,2091,.828,374,.148,.024,152,198
Muskogee,Oklahoma,66339,77,3959353,16526,.659,8027,.32,.021,3688,4499
Garvin,Oklahoma,25656,77,3959353,8878,.8129999999999999,1865,.171,.016,1713,2452
Custer,Oklahoma,28513,77,3959353,8060,.754,2369,.222,.024,3830,5384
Logan,Oklahoma,49555,77,3959353,15608,.723,5455,.253,.024,2170,4003
Craig,Oklahoma,14107,77,3959353,4686,.777,1217,.202,.021,370,427
McCurtain,Oklahoma,30814,77,3959353,9485,.827,1858,.162,.011,1552,1894
Pottawatomie,Oklahoma,72454,77,3959353,20240,.718,7275,.258,.024,2878,4288
Beckham,Oklahoma,22410,77,3959353,6767,.851,1048,.132,.017,2619,2684
Canadian,Oklahoma,154405,77,3959353,43550,.703,16742,.27,.027,7794,16377
Noble,Oklahoma,10924,77,3959353,3821,.774,1003,.203,.023,300,420
Kay,Oklahoma,43700,77,3959353,12834,.744,4040,.234,.022,2992,3652
Nowata,Oklahoma,9320,77,3959353,3610,.822,712,.162,.016,240,241
Johnston,Oklahoma,10272,77,3959353,3441,.8090000000000001,738,.174,.017,423,581
Cleveland,Oklahoma,295528,77,3959353,66677,.5570000000000001,49827,.416,.027,17892,30312
Beaver,Oklahoma,5049,77,3959353,1968,.904,190,.087,.009,1135,1304
Greer,Oklahoma,5491,77,3959353,1605,.8129999999999999,328,.166,.021,609,665
Osage,Oklahoma,45818,77,3959353,14121,.6879999999999999,6002,.292,.0200000000000001,1366,1872
Caddo,Oklahoma,26945,77,3959353,7013,.711,2670,.271,.018,2995,4335
Okfuskee,Oklahoma,11310,77,3959353,3058,.757,896,.222,.021,356,342
Lincoln,Oklahoma,33458,77,3959353,12013,.8070000000000001,2609,.175,.018,838,1137
Haskell,Oklahoma,11561,77,3959353,4165,.831,783,.156,.013,426,529
Mayes,Oklahoma,39046,77,3959353,12749,.767,3581,.215,.018,1097,1375
Grant,Oklahoma,4169,77,3959353,1916,.861,280,.126,.013,158,184
Kingfisher,Oklahoma,15184,77,3959353,5521,.854,854,.132,.014,2022,2755
Sequoyah,Oklahoma,39281,77,3959353,12113,.787,3035,.197,.016,1438,1726
Okmulgee,Oklahoma,36706,77,3959353,9668,.675,4357,.304,.021,1293,1708
Murray,Oklahoma,13904,77,3959353,4612,.782,1156,.196,.022,662,926
Oklahoma,Oklahoma,796292,77,3959353,145050,.492,141724,.481,.027,108543,153498
Grady,Oklahoma,54795,77,3959353,18538,.802,4144,.179,.019,2405,3520
Hughes,Oklahoma,13367,77,3959353,3875,.798,919,.189,.013,530,755
Bryan,Oklahoma,46067,77,3959353,12344,.773,3323,.208,.019,2107,3428
Dewey,Oklahoma,4484,77,3959353,2124,.9,214,.091,.009,231,260
Washington,Oklahoma,52455,77,3959353,17076,.727,5790,.246,.027,2556,3360
Wagoner,Oklahoma,80981,77,3959353,26165,.74,8464,.24,.02,3488,6137
Payne,Oklahoma,81646,77,3959353,17813,.601,10904,.368,.031,2990,5373
Cherokee,Oklahoma,47078,77,3959353,11223,.634,6027,.34,.026,2952,3437
Umatilla,Oregon,80075,36,4237256,10707,.326,21270,.647,.0269999999999999,18107,22622
Benton,Oregon,95184,36,4237256,35827,.6850000000000001,14878,.284,.031,5467,8524
Sherman,Oregon,1870,36,4237256,260,.215,921,.763,.022,98,119
Jackson,Oregon,223259,36,4237256,59478,.47,63869,.505,.025,21745,30399
Wasco,Oregon,26670,36,4237256,6604,.47,7035,.501,.029,3743,5017
Columbia,Oregon,52589,36,4237256,13835,.432,17150,.536,.032,1987,3070
Morrow,Oregon,12186,36,4237256,1371,.269,3586,.703,.028,3497,4988
Wheeler,Oregon,1451,36,4237256,217,.226,711,.741,.033,62,84
Linn,Oregon,128610,36,4237256,26512,.367,43486,.603,.03,9127,12571
Douglas,Oregon,111201,36,4237256,19160,.299,43298,.676,.025,5055,6654
Josephine,Oregon,88090,36,4237256,18451,.359,31751,.618,.023,5251,7037
Hood River,Oregon,23977,36,4237256,8764,.674,3955,.304,.022,6589,7148
Yamhill,Oregon,107722,36,4237256,27174,.464,29551,.505,.031,14592,17793
Washington,Oregon,600372,36,4237256,209940,.661,99073,.312,.027,83270,107642
Crook,Oregon,24738,36,4237256,3801,.247,11287,.734,.019,1463,1803
Multnomah,Oregon,815428,36,4237256,367249,.798,82995,.18,.022,80138,103753
Deschutes,Oregon,198253,36,4237256,65962,.531,55646,.448,.021,11718,17237
Clatsop,Oregon,41072,36,4237256,12916,.544,10218,.43,.026,2838,3848
Polk,Oregon,87433,36,4237256,22917,.478,23732,.495,.027,9088,12730
Lake,Oregon,8160,36,4237256,792,.182,3470,.799,.019,545,802
Coos,Oregon,64929,36,4237256,14243,.386,21829,.592,.022,3391,4292
Baker,Oregon,16668,36,4237256,2346,.237,7352,.743,.02,528,809
Jefferson,Oregon,24502,36,4237256,4393,.37,7189,.605,.025,4195,5002
Lane,Oregon,382971,36,4237256,134366,.609,80336,.364,.027,26167,37780
Marion,Oregon,345920,36,4237256,80872,.492,79002,.481,.027,76594,95740
Harney,Oregon,7495,36,4237256,894,.201,3475,.781,.0179999999999999,294,394
Wallowa,Oregon,7391,36,4237256,1625,.317,3404,.663,.02,156,257
Lincoln,Oregon,50395,36,4237256,17385,.5679999999999999,12460,.407,.0250000000000001,3655,4851
Gilliam,Oregon,1995,36,4237256,324,.276,834,.709,.015,88,107
Klamath,Oregon,69413,36,4237256,10388,.284,25308,.6919999999999999,.024,6915,8772
Tillamook,Oregon,27390,36,4237256,8066,.48,8354,.497,.023,2284,2946
Grant,Oregon,7233,36,4237256,929,.203,3545,.775,.0219999999999999,207,283
Malheur,Oregon,31571,36,4237256,3260,.277,8187,.697,.026,9867,10320
Curry,Oregon,23446,36,4237256,6058,.408,8484,.571,.0210000000000001,1201,1674
Clackamas,Oregon,421401,36,4237256,139043,.544,110509,.432,.024,29138,40342
Union,Oregon,26196,36,4237256,4254,.286,10298,.6929999999999999,.021,1002,1347
Metcalfe,Kentucky,10286,120,4505836,3959,.79,975,.195,.015,115,230
Franklin,Kentucky,51541,120,4505836,12900,.495,12652,.485,.02,1374,2047
Lyon,Kentucky,8680,120,4505836,3100,.733,1092,.258,.009,77,152
Bourbon,Kentucky,20252,120,4505836,6190,.642,3296,.342,.016,1368,1486
Lewis,Kentucky,13080,120,4505836,4986,.848,823,.14,.012,78,83
Hickman,Kentucky,4521,120,4505836,1714,.779,458,.208,.013,57,102
Graves,Kentucky,36649,120,4505836,13206,.776,3560,.209,.015,2099,2773
Boyle,Kentucky,30614,120,4505836,8872,.613,5298,.366,.021,796,1490
Knox,Kentucky,30193,120,4505836,11012,.83,2114,.159,.011,270,347
Grayson,Kentucky,26420,120,4505836,9453,.789,2400,.2,.011,258,364
Leslie,Kentucky,10513,120,4505836,4321,.898,446,.093,.009,40,72
Caldwell,Kentucky,12649,120,4505836,4906,.763,1433,.223,.014,129,198
Nicholas,Kentucky,7537,120,4505836,2408,.709,955,.281,.01,98,154
Livingston,Kentucky,8888,120,4505836,4010,.802,939,.188,.01,123,186
Madison,Kentucky,92701,120,4505836,27356,.623,15581,.355,.022,1813,3064
Elliott,Kentucky,7354,120,4505836,2246,.75,712,.238,.012,62,91
Henry,Kentucky,15678,120,4505836,5843,.721,2142,.264,.015,447,545
Monroe,Kentucky,11338,120,4505836,4628,.868,657,.123,.009,289,473
Anderson,Kentucky,23852,120,4505836,9661,.729,3348,.253,.018,288,521
Powell,Kentucky,13129,120,4505836,4041,.734,1367,.248,.018,132,197
Gallatin,Kentucky,8690,120,4505836,2955,.768,822,.214,.018,372,492
Estill,Kentucky,14163,120,4505836,5100,.78,1355,.207,.013,101,131
Lee,Kentucky,7395,120,4505836,2273,.8110000000000001,481,.172,.017,58,60
Owsley,Kentucky,4051,120,4505836,1671,.881,216,.114,.005,39,42
Daviess,Kentucky,103312,120,4505836,31025,.63,17286,.351,.019,2525,4145
Wolfe,Kentucky,6562,120,4505836,2097,.704,839,.282,.0140000000000001,41,61
McCreary,Kentucky,16888,120,4505836,5664,.88,725,.113,.007,392,365
Logan,Kentucky,27432,120,4505836,9067,.734,3094,.251,.015,651,853
Floyd,Kentucky,35942,120,4505836,12250,.749,3884,.238,.013,219,308
Harrison,Kentucky,18692,120,4505836,6334,.715,2400,.271,.014,337,387
Meade,Kentucky,30003,120,4505836,10185,.722,3632,.257,.021,859,1133
Lawrence,Kentucky,16293,120,4505836,5633,.8100000000000001,1238,.178,.012,77,148
Martin,Kentucky,11287,120,4505836,3496,.89,403,.103,.007,388,290
LaRue,Kentucky,14867,120,4505836,5685,.779,1504,.206,.015,401,479
Allen,Kentucky,20588,120,4505836,7587,.8100000000000001,1642,.175,.015,297,574
Oldham,Kentucky,67607,120,4505836,22654,.597,14505,.382,.021,2133,3235
Menifee,Kentucky,6113,120,4505836,2311,.745,750,.242,.013,51,57
Robertson,Kentucky,2193,120,4505836,884,.771,253,.221,.008,22,19
Garrard,Kentucky,16953,120,4505836,6754,.776,1830,.21,.014,403,451
Simpson,Kentucky,19594,120,4505836,5888,.674,2681,.307,.019,325,648
Perry,Kentucky,28473,120,4505836,8129,.765,2356,.222,.013,185,221
Adair,Kentucky,18903,120,4505836,7276,.83,1392,.159,.011,319,643
Washington,Kentucky,12027,120,4505836,4482,.72,1644,.264,.016,393,470
Jackson,Kentucky,12955,120,4505836,5453,.892,605,.099,.009,84,96
Hancock,Kentucky,9095,120,4505836,3145,.6860000000000001,1351,.295,.019,94,162
Warren,Kentucky,134554,120,4505836,31791,.574,22479,.406,.02,5174,9441
Laurel,Kentucky,62613,120,4505836,23237,.827,4475,.159,.014,717,1011
Clark,Kentucky,36972,120,4505836,11811,.652,6004,.331,.017,891,1477
Montgomery,Kentucky,28114,120,4505836,8993,.701,3630,.283,.0160000000000001,660,925
Campbell,Kentucky,93076,120,4505836,28482,.583,19374,.397,.02,1495,2309
Ballard,Kentucky,7728,120,4505836,3356,.794,825,.195,.011,90,93
Casey,Kentucky,15941,120,4505836,6179,.862,918,.128,.01,378,539
Fulton,Kentucky,6515,120,4505836,1606,.662,794,.327,.011,53,151
Clay,Kentucky,20345,120,4505836,6677,.88,831,.109,.011,402,353
Clinton,Kentucky,9253,120,4505836,4280,.868,603,.122,.01,231,245
Knott,Kentucky,14251,120,4505836,4780,.765,1412,.226,.009,99,90
Owen,Kentucky,11278,120,4505836,4292,.787,1098,.201,.012,246,251
Mason,Kentucky,17120,120,4505836,5477,.6879999999999999,2362,.297,.0150000000000001,248,356
Woodford,Kentucky,26871,120,4505836,8362,.55,6530,.429,.021,1680,2013
Muhlenberg,Kentucky,30928,120,4505836,10497,.738,3545,.249,.013,367,569
Cumberland,Kentucky,5888,120,4505836,2769,.837,508,.154,.009,63,77
Hardin,Kentucky,110702,120,4505836,29832,.61,18101,.37,.02,5317,6695
Todd,Kentucky,12243,120,4505836,4062,.758,1205,.225,.017,494,598
Whitley,Kentucky,36712,120,4505836,12567,.819,2552,.166,.015,310,687
Henderson,Kentucky,44793,120,4505836,12730,.615,7639,.369,.016,858,1368
Hart,Kentucky,19288,120,4505836,6345,.758,1908,.228,.014,261,334
Christian,Kentucky,72748,120,4505836,15080,.632,8296,.348,.02,4541,5752
Boyd,Kentucky,48261,120,4505836,14295,.658,7083,.326,.016,714,714
Pendleton,Kentucky,14644,120,4505836,5515,.796,1322,.191,.013,143,201
Fleming,Kentucky,15082,120,4505836,5534,.783,1474,.209,.008,149,218
Carter,Kentucky,26627,120,4505836,8775,.757,2642,.228,.015,321,254
Harlan,Kentucky,26831,120,4505836,9367,.854,1494,.136,.01,210,265
McCracken,Kentucky,67875,120,4505836,21820,.651,11195,.334,.015,1383,2135
Calloway,Kentucky,37103,120,4505836,11352,.651,5797,.332,.017,890,1353
Letcher,Kentucky,21548,120,4505836,7226,.791,1799,.197,.012,124,133
Scott,Kentucky,57155,120,4505836,17767,.614,10567,.365,.021,1994,3103
Grant,Kentucky,24941,120,4505836,8725,.786,2205,.199,.015,577,741
Morgan,Kentucky,13726,120,4505836,4301,.776,1175,.212,.012,108,417
Trimble,Kentucky,8474,120,4505836,3227,.747,1012,.234,.019,223,192
Green,Kentucky,11107,120,4505836,4838,.832,920,.158,.01,159,199
Lincoln,Kentucky,24275,120,4505836,8489,.778,2254,.207,.015,372,475
Crittenden,Kentucky,8990,120,4505836,3451,.8139999999999999,731,.172,.0140000000000001,48,113
Fayette,Kentucky,322570,120,4505836,58860,.385,90600,.593,.022,20474,29750
Bullitt,Kentucky,82217,120,4505836,30708,.732,10552,.251,.017,1038,2117
Spencer,Kentucky,19490,120,4505836,8737,.764,2530,.221,.015,239,450
Ohio,Kentucky,23772,120,4505836,8582,.771,2404,.216,.013,844,993
Marshall,Kentucky,31659,120,4505836,13297,.755,4071,.231,.014,350,539
Magoffin,Kentucky,11637,120,4505836,4174,.766,1214,.223,.011,95,66
Breathitt,Kentucky,13718,120,4505836,4265,.753,1301,.23,.017,89,93
Pike,Kentucky,58669,120,4505836,20284,.799,4866,.192,.009,446,695
Greenup,Kentucky,35962,120,4505836,13064,.719,4873,.268,.013,284,317
Bracken,Kentucky,8400,120,4505836,3398,.801,800,.189,.01,96,90
Boone,Kentucky,135968,120,4505836,44814,.669,20901,.312,.019,4205,7707
Breckinridge,Kentucky,20432,120,4505836,7701,.755,2350,.23,.015,175,284
Jessamine,Kentucky,52991,120,4505836,17096,.651,8567,.326,.023,1353,2384
Taylor,Kentucky,26023,120,4505836,9376,.749,2963,.237,.014,433,720
Hopkins,Kentucky,45423,120,4505836,15757,.733,5439,.253,.014,734,1126
Butler,Kentucky,12371,120,4505836,4960,.8100000000000001,1079,.176,.014,322,592
Rowan,Kentucky,24662,120,4505836,5994,.596,3880,.386,.018,294,541
Shelby,Kentucky,48065,120,4505836,15055,.639,8077,.343,.018,3812,5295
Jefferson,Kentucky,782969,120,4505836,150646,.39,228358,.591,.019,32542,59021
Carlisle,Kentucky,4826,120,4505836,2159,.8179999999999999,463,.176,.0060000000000001,83,133
Barren,Kentucky,44485,120,4505836,14654,.731,5127,.256,.013,1110,1889
Kenton,Kentucky,169064,120,4505836,48129,.586,32271,.393,.021,4225,7741
Rockcastle,Kentucky,16037,120,4505836,6577,.845,1134,.146,.009,103,172
Nelson,Kentucky,46738,120,4505836,15703,.676,7188,.309,.015,888,1214
Wayne,Kentucky,19555,120,4505836,7430,.804,1700,.184,.012,601,902
Bath,Kentucky,12750,120,4505836,3986,.708,1573,.28,.012,157,182
Russell,Kentucky,17991,120,4505836,7519,.84,1331,.149,.011,585,781
Carroll,Kentucky,10810,120,4505836,2954,.714,1116,.27,.016,789,795
Edmonson,Kentucky,12126,120,4505836,4828,.787,1227,.2,.013,100,156
Mercer,Kentucky,22641,120,4505836,8506,.725,3033,.258,.017,490,703
Johnson,Kentucky,22680,120,4505836,8450,.829,1608,.158,.013,109,198
Trigg,Kentucky,14061,120,4505836,5487,.744,1791,.243,.013,175,317
McLean,Kentucky,9152,120,4505836,3633,.76,1074,.225,.015,106,164
Bell,Kentucky,24097,120,4505836,8140,.8100000000000001,1789,.178,.012,198,244
Union,Kentucky,13668,120,4505836,4965,.755,1529,.233,.012,243,188
Webster,Kentucky,13017,120,4505836,4506,.752,1412,.236,.012,580,845
Pulaski,Kentucky,65034,120,4505836,25442,.8070000000000001,5666,.18,.013,1318,1877
Marion,Kentucky,19581,120,4505836,6113,.6850000000000001,2722,.305,.01,482,681
Plaquemines Parish,Louisiana,23515,64,4657757,7412,.673,3414,.31,.017,1067,2236
Franklin Parish,Louisiana,19774,64,4657757,6970,.717,2658,.273,.01,196,276
Webster Parish,Louisiana,36967,64,4657757,11830,.649,6172,.339,.012,670,688
East Carroll Parish,Louisiana,7459,64,4657757,1080,.356,1900,.626,.018,127,115
Concordia Parish,Louisiana,18687,64,4657757,5550,.629,3177,.36,.011,209,459
Orleans Parish,Louisiana,383997,64,4657757,26664,.15,147854,.831,.019,18051,31017
Madison Parish,Louisiana,10017,64,4657757,1930,.413,2654,.5679999999999999,.019,188,204
Winn Parish,Louisiana,13755,64,4657757,4619,.742,1543,.248,.01,240,1023
St. Bernard Parish,Louisiana,43764,64,4657757,11179,.633,6151,.348,.019,3309,6010
Bossier Parish,Louisiana,128746,64,4657757,38074,.697,15662,.287,.0160000000000001,7026,10237
Avoyelles Parish,Louisiana,39693,64,4657757,12028,.696,4979,.288,.0160000000000001,606,1485
Bienville Parish,Louisiana,12981,64,4657757,3891,.552,3067,.435,.013,207,211
Lincoln Parish,Louisiana,48396,64,4657757,11311,.587,7559,.392,.021,1189,1754
Grant Parish,Louisiana,22169,64,4657757,8117,.864,1157,.123,.013,931,1333
West Carroll Parish,Louisiana,9751,64,4657757,4317,.855,710,.141,.004,299,325
Livingston Parish,Louisiana,142282,64,4657757,54877,.841,9249,.142,.017,3801,8791
Vernon Parish,Louisiana,48750,64,4657757,14107,.8169999999999999,2898,.168,.015,3775,4175
Assumption Parish,Louisiana,21039,64,4657757,7271,.647,3833,.341,.012,498,914
Washington Parish,Louisiana,45463,64,4657757,13307,.6820000000000001,5970,.306,.012,887,1410
Evangeline Parish,Louisiana,32350,64,4657757,11053,.717,4158,.27,.013,776,1336
Allen Parish,Louisiana,22750,64,4657757,7574,.772,2108,.215,.013,342,1893
Morehouse Parish,Louisiana,25629,64,4657757,6510,.5620000000000001,4946,.427,.011,255,381
East Baton Rouge Parish,Louisiana,456781,64,4657757,88420,.425,115577,.555,.0199999999999999,16274,30551
St. Charles Parish,Louisiana,52549,64,4657757,18233,.639,9800,.344,.017,2648,4141
Red River Parish,Louisiana,7620,64,4657757,2413,.584,1644,.398,.018,101,188
De Soto Parish,Louisiana,26812,64,4657757,9112,.618,5457,.37,.012,661,762
East Feliciana Parish,Louisiana,19539,64,4657757,6064,.577,4280,.407,.0160000000000001,208,391
Iberia Parish,Louisiana,69929,64,4657757,21251,.65,11027,.337,.013,2299,3897
St. Mary Parish,Louisiana,49406,64,4657757,14811,.639,8055,.347,.014,2920,4524
Tensas Parish,Louisiana,4147,64,4657757,1197,.469,1329,.52,.011,65,67
Sabine Parish,Louisiana,22155,64,4657757,8776,.828,1731,.163,.009,820,710
St. Martin Parish,Louisiana,51767,64,4657757,18203,.673,8439,.312,.015,1071,1679
St. Landry Parish,Louisiana,82540,64,4657757,23171,.5629999999999999,17372,.422,.0150000000000001,1321,2178
Calcasieu Parish,Louisiana,216785,64,4657757,55066,.666,25982,.314,.02,4945,11384
Terrebonne Parish,Louisiana,109580,64,4657757,34339,.743,11198,.242,.015,4421,7358
Beauregard Parish,Louisiana,36549,64,4657757,13575,.83,2542,.155,.015,1003,1271
St. John the Baptist Parish,Louisiana,42477,64,4657757,7538,.352,13582,.634,.014,2175,3291
Tangipahoa Parish,Louisiana,133157,64,4657757,37806,.656,18887,.328,.016,4260,7242
St. Helena Parish,Louisiana,10920,64,4657757,2714,.441,3346,.543,.0159999999999999,99,216
St. Tammany Parish,Louisiana,264570,64,4657757,99666,.711,37746,.269,.02,10970,20844
Acadia Parish,Louisiana,57576,64,4657757,22596,.795,5443,.191,.014,1060,1641
Catahoula Parish,Louisiana,8906,64,4657757,3541,.729,1269,.261,.01,90,614
Jefferson Parish,Louisiana,440781,64,4657757,105949,.547,84477,.436,.017,53702,79057
West Feliciana Parish,Louisiana,15310,64,4657757,3863,.616,2298,.367,.017,251,651
Natchitoches Parish,Louisiana,37515,64,4657757,9358,.5649999999999999,6896,.417,.0180000000000001,735,1490
Lafourche Parish,Louisiana,97557,64,4657757,36024,.794,8672,.191,.015,3647,5672
Cameron Parish,Louisiana,5617,64,4657757,3671,.909,324,.08,.011,154,197
