county,state,pop_county,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020
Billings,North Dakota,945,53,779094,541,.853,72,.114,.033,4,22
Dickey,North Dakota,4999,53,779094,1742,.722,608,.252,.026,100,199
Adams,North Dakota,2200,53,779094,981,.773,258,.203,.024,20,36
Nelson,North Dakota,3015,53,779094,1141,.645,586,.331,.024,33,69
Ward,North Dakota,69919,53,779094,19974,.711,7293,.259,.03,1869,4590
McHenry,North Dakota,5345,53,779094,2364,.789,564,.188,.023,80,98
Pierce,North Dakota,3990,53,779094,1585,.748,497,.234,.018,44,72
Walsh,North Dakota,10563,53,779094,3324,.699,1333,.281,.02,969,1316
Ramsey,North Dakota,11605,53,779094,3577,.669,1639,.307,.024,137,274
McKenzie,North Dakota,14704,53,779094,4482,.829,814,.151,.02,139,1532
Mountrail,North Dakota,9809,53,779094,2824,.68,1256,.302,.018,286,768
Cavalier,North Dakota,3704,53,779094,1499,.745,474,.235,.02,24,45
Sheridan,North Dakota,1265,53,779094,688,.851,104,.129,.02,16,10
Mercer,North Dakota,8350,53,779094,3856,.827,704,.151,.022,121,218
Pembina,North Dakota,6844,53,779094,2460,.743,786,.237,.02,190,243
Renville,North Dakota,2282,53,779094,1065,.8090000000000001,220,.167,.0239999999999999,24,37
LaMoure,North Dakota,4093,53,779094,1645,.742,527,.238,.02,34,88
Dunn,North Dakota,4095,53,779094,1951,.837,342,.147,.016,38,107
Stark,North Dakota,33646,53,779094,12110,.8070000000000001,2499,.167,.0259999999999999,454,2274
Grand Forks,North Dakota,73170,53,779094,16987,.553,12880,.419,.028,1951,3657
Burke,North Dakota,2201,53,779094,994,.864,137,.119,.017,37,59
Williams,North Dakota,40950,53,779094,11739,.823,2169,.152,.025,436,3897
Hettinger,North Dakota,2489,53,779094,1091,.833,196,.15,.017,12,34
Burleigh,North Dakota,98458,53,779094,34744,.6889999999999999,14348,.284,.0270000000000001,986,3084
Sioux,North Dakota,3898,53,779094,258,.232,804,.724,.044,82,63
Sargent,North Dakota,3862,53,779094,1266,.613,738,.357,.03,51,91
Stutsman,North Dakota,21593,53,779094,6994,.705,2676,.27,.025,361,593
Cass,North Dakota,184525,53,779094,42619,.499,40311,.472,.029,3015,6182
Griggs,North Dakota,2306,53,779094,907,.726,308,.247,.027,9,24
Wells,North Dakota,3982,53,779094,1893,.8,442,.187,.013,21,38
Foster,North Dakota,3397,53,779094,1362,.77,373,.211,.019,29,66
Bottineau,North Dakota,6379,53,779094,2575,.744,821,.237,.019,82,141
Golden Valley,North Dakota,1736,53,779094,871,.851,137,.134,.015,35,48
Logan,North Dakota,1876,53,779094,930,.868,128,.119,.013,12,35
Slope,North Dakota,706,53,779094,380,.892,44,.103,.005,12,8
McIntosh,North Dakota,2530,53,779094,1153,.798,261,.181,.021,38,53
Ransom,North Dakota,5703,53,779094,1418,.579,945,.386,.035,66,129
Towner,North Dakota,2162,53,779094,830,.708,317,.27,.022,10,34
Richland,North Dakota,16529,53,779094,5072,.653,2510,.323,.024,271,574
Benson,North Dakota,5964,53,779094,1094,.5600000000000001,822,.42,.02,77,89
Bowman,North Dakota,2993,53,779094,1395,.844,228,.138,.018,78,129
Oliver,North Dakota,1877,53,779094,918,.862,129,.121,.017,19,28
Barnes,North Dakota,10853,53,779094,3568,.643,1820,.328,.029,123,185
Traill,North Dakota,7997,53,779094,2522,.611,1493,.362,.027,214,297
Grant,North Dakota,2301,53,779094,1145,.83,207,.15,.02,7,26
Divide,North Dakota,2195,53,779094,904,.754,265,.221,.025,30,53
Eddy,North Dakota,2347,53,779094,854,.678,383,.304,.018,52,77
Kidder,North Dakota,2394,53,779094,1215,.833,221,.152,.015,71,52
Emmons,North Dakota,3301,53,779094,1738,.868,237,.118,.014,34,35
Steele,North Dakota,1798,53,779094,652,.603,392,.362,.035,20,36
Walworth,South Dakota,5315,66,886667,1966,.762,565,.219,,39,99
Fall River,South Dakota,6973,66,886667,2878,.712,1053,.261,,159,180
Davison,South Dakota,19956,66,886667,5613,.664,2648,.313,,294,913
McPherson,South Dakota,2411,66,886667,1075,.8120000000000001,222,.168,,25,53
Marshall,South Dakota,4306,66,886667,1287,.591,858,.394,,317,255
Edmunds,South Dakota,3986,66,886667,1538,.775,417,.21,,58,61
Clay,South Dakota,14967,66,886667,2456,.431,3083,.541,,277,458
McCook,South Dakota,5682,66,886667,2068,.713,769,.265,,99,175
Beadle,South Dakota,19149,66,886667,4808,.679,2107,.298,,1337,2741
Douglas,South Dakota,2835,66,886667,1468,.86,216,.127,,23,54
Hughes,South Dakota,17765,66,886667,5522,.633,2953,.339,,306,490
Sanborn,South Dakota,2330,66,886667,905,.764,257,.217,,28,57
Corson,South Dakota,3902,66,886667,647,.504,622,.485,,106,46
Hutchinson,South Dakota,7427,66,886667,2944,.782,762,.202,,120,157
Bon Homme,South Dakota,7003,66,886667,2235,.745,721,.24,,130,117
Brule,South Dakota,5247,66,886667,1750,.703,673,.27,,75,106
Moody,South Dakota,6336,66,886667,1951,.609,1179,.368,,111,314
Mellette,South Dakota,1918,66,886667,449,.584,298,.388,,30,39
Jackson,South Dakota,2806,66,886667,738,.662,359,.322,,38,61
Harding,South Dakota,1311,66,886667,748,.92,49,.06,,20,32
Lawrence,South Dakota,25768,66,886667,8753,.633,4537,.328,,612,922
Hyde,South Dakota,1262,66,886667,564,.794,136,.192,,15,24
Lake,South Dakota,11059,66,886667,3681,.627,2068,.352,,175,606
Brown,South Dakota,38301,66,886667,10580,.603,6538,.373,,496,1659
Minnehaha,South Dakota,197214,66,886667,49249,.533,40482,.438,,6982,12034
Perkins,South Dakota,2835,66,886667,1401,.839,239,.143,,20,38
Lyman,South Dakota,3718,66,886667,1042,.652,525,.329,,42,45
Campbell,South Dakota,1377,66,886667,747,.856,117,.134,,20,37
Spink,South Dakota,6361,66,886667,2104,.665,998,.316,,71,143
Lincoln,South Dakota,65161,66,886667,19617,.606,11981,.37,,553,1679
Sully,South Dakota,1446,66,886667,726,.781,185,.199,,12,42
Turner,South Dakota,8673,66,886667,3290,.723,1139,.25,,112,249
Aurora,South Dakota,2747,66,886667,1052,.749,317,.226,,101,219
Haakon,South Dakota,1872,66,886667,1026,.902,105,.092,,17,19
Charles Mix,South Dakota,9373,66,886667,2552,.675,1177,.311,,152,228
Todd,South Dakota,9319,66,886667,532,.21,1963,.773,,227,222
Yankton,South Dakota,23310,66,886667,6581,.604,4016,.368,,614,1234
Oglala Lakota,South Dakota,13672,66,886667,297,.093,2829,.884,,,402
Potter,South Dakota,2472,66,886667,1139,.825,227,.164,,17,39
Hand,South Dakota,3145,66,886667,1433,.781,373,.203,,19,49
Gregory,South Dakota,3994,66,886667,1771,.784,455,.202,,38,52
Tripp,South Dakota,5624,66,886667,2161,.802,495,.184,,60,54
Codington,South Dakota,28325,66,886667,8958,.681,3837,.292,,433,739
Dewey,South Dakota,5239,66,886667,790,.402,1131,.575,,98,81
Faulk,South Dakota,2125,66,886667,964,.8159999999999999,198,.168,,18,46
Kingsbury,South Dakota,5187,66,886667,1904,.6850000000000001,819,.295,,72,119
Hanson,South Dakota,3461,66,886667,1793,.751,557,.233,,15,33
Bennett,South Dakota,3381,66,886667,694,.587,466,.394,,67,87
Hamlin,South Dakota,6164,66,886667,2372,.769,647,.21,,149,288
Meade,South Dakota,29852,66,886667,9875,.722,3285,.24,,773,1301
Grant,South Dakota,7556,66,886667,2618,.699,1056,.282,,168,480
Day,South Dakota,5449,66,886667,1869,.631,1052,.355,,62,153
Brookings,South Dakota,34375,66,886667,8000,.549,6110,.419,,636,1427
Deuel,South Dakota,4295,66,886667,1699,.723,609,.259,,86,137
Stanley,South Dakota,2980,66,886667,1203,.728,421,.255,,21,31
Pennington,South Dakota,109222,66,886667,35063,.61,20606,.358,,4044,5575
Jerauld,South Dakota,1663,66,886667,721,.717,270,.268,,84,74
Buffalo,South Dakota,1948,66,886667,183,.333,352,.641,,35,13
Ziebach,South Dakota,2413,66,886667,404,.446,481,.531,,87,34
Custer,South Dakota,8318,66,886667,3852,.701,1522,.277,,182,211
Miner,South Dakota,2298,66,886667,787,.6919999999999999,320,.281,,31,42
Jones,South Dakota,917,66,886667,498,.831,90,.15,,13,11
Clark,South Dakota,3837,66,886667,1373,.742,437,.236,,63,169
Butte,South Dakota,10243,66,886667,3731,.777,939,.196,,306,410
Union,South Dakota,16811,66,886667,5944,.671,2725,.308,,305,661
Roberts,South Dakota,10280,66,886667,2404,.5580000000000001,1828,.424,,126,215
Kent,Delaware,181851,3,989948,44552,.512,41009,.471,.017,9346,13981
Sussex,Delaware,237378,3,989948,56682,.438,71230,.551,.011,16954,26793
New Castle,Delaware,570719,3,989948,195034,.678,88364,.307,.015,46921,63516
McCone,Montana,1729,56,1084225,956,.848,155,.137,.015,13,32
Lewis and Clark,Montana,70973,56,1084225,21409,.507,19743,.467,.026,1582,2599
Yellowstone,Montana,164731,56,1084225,50772,.606,30679,.366,.028,6955,10115
Mineral,Montana,4535,56,1084225,1828,.713,686,.268,.019,80,147
Madison,Montana,8623,56,1084225,4191,.6889999999999999,1771,.291,.0200000000000001,186,239
Fallon,Montana,3049,56,1084225,1375,.873,172,.109,.018,34,63
Silver Bow,Montana,35133,56,1084225,7745,.415,10392,.5570000000000001,.0279999999999999,1253,1638
Carbon,Montana,10473,56,1084225,4468,.634,2421,.343,.023,188,261
Stillwater,Montana,8963,56,1084225,4462,.78,1156,.202,.018,214,269
